
========================================================================
RUN STARTED  2026-06-17 15:25:51
site_pipeline.py https://www.turing.com/
========================================================================

[15:25:51 +0s | turing] === 0 crawl site ===
[15:25:52 +1s | turing] [INIT].... → Crawl4AI 0.8.6 
[15:25:53 +3s | turing] [FETCH]... ↓ https://www.turing.com/                                                                              | ✓ | ⏱: 1.24s 
[15:26:34 +43s | turing] Repaired malformed JSON.
[15:26:34 +43s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 6/13
[15:26:41 +50s | turing] Repaired malformed JSON.
[15:26:41 +50s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 7/13
[15:26:47 +56s | turing] Repaired malformed JSON.
[15:26:47 +56s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 8/13
[15:26:57 +1m 6s | turing] Repaired malformed JSON.
[15:26:57 +1m 6s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 9/13
[15:27:04 +1m 13s | turing] Repaired malformed JSON.
[15:27:04 +1m 13s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 10/13
[15:27:10 +1m 19s | turing] Repaired malformed JSON.
[15:27:10 +1m 19s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 11/13
[15:27:14 +1m 23s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 12/13
[15:27:18 +1m 27s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-68 (1/44), chunk 13/13
[15:27:24 +1m 33s | turing] Repaired malformed JSON.
[15:27:24 +1m 33s | turing] Reading page (2/44): https://www.turing.com/advance/safety
[15:27:24 +1m 33s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 1/14
[15:27:27 +1m 36s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 2/14
[15:27:31 +1m 40s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 3/14
[15:27:36 +1m 45s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 4/14
[15:27:41 +1m 50s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 5/14
[15:27:48 +1m 57s | turing] Repaired malformed JSON.
[15:27:48 +1m 57s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 6/14
[15:27:58 +2m 7s | turing] Repaired malformed JSON.
[15:27:58 +2m 7s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 7/14
[15:28:04 +2m 13s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 8/14
[15:28:09 +2m 18s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 9/14
[15:28:17 +2m 26s | turing] Repaired malformed JSON.
[15:28:17 +2m 26s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 10/14
[15:28:27 +2m 36s | turing] Repaired malformed JSON.
[15:28:27 +2m 36s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 11/14
[15:28:33 +2m 42s | turing] Repaired malformed JSON.
[15:28:33 +2m 42s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 12/14
[15:28:42 +2m 51s | turing] Repaired malformed JSON.
[15:28:42 +2m 51s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 13/14
[15:28:46 +2m 55s | turing] Extracting: https://www.turing.com/advance/safety (2/44), chunk 14/14
[15:28:52 +3m 1s | turing] Repaired malformed JSON.
[15:28:52 +3m 1s | turing] Reading page (3/44): https://www.turing.com/blog/data-and-deployment-loop
[15:28:52 +3m 1s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 1/10
[15:28:56 +3m 5s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 2/10
[15:29:00 +3m 10s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 3/10
[15:29:04 +3m 13s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 4/10
[15:29:07 +3m 16s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 5/10
[15:29:14 +3m 23s | turing] Repaired malformed JSON.
[15:29:14 +3m 23s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 6/10
[15:29:21 +3m 30s | turing] Repaired malformed JSON.
[15:29:21 +3m 30s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 7/10
[15:29:31 +3m 41s | turing] Repaired malformed JSON.
[15:29:31 +3m 41s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 8/10
[15:29:42 +3m 51s | turing] Repaired malformed JSON.
[15:29:42 +3m 51s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 9/10
[15:29:47 +3m 56s | turing] Extracting: https://www.turing.com/blog/data-and-deployment-loop (3/44), chunk 10/10
[15:29:55 +4m 4s | turing] Repaired malformed JSON.
[15:29:55 +4m 4s | turing] Reading page (4/44): https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact
[15:29:55 +4m 4s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 1/16
[15:29:59 +4m 8s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 2/16
[15:30:03 +4m 12s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 3/16
[15:30:07 +4m 16s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 4/16
[15:30:17 +4m 26s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 5/16
[15:30:19 +4m 28s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 6/16
[15:30:23 +4m 33s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 7/16
[15:30:28 +4m 37s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 8/16
[15:30:37 +4m 46s | turing] Repaired malformed JSON.
[15:30:37 +4m 46s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 9/16
[15:30:42 +4m 51s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 10/16
[15:30:50 +4m 59s | turing] Repaired malformed JSON.
[15:30:50 +4m 59s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 11/16
[15:30:59 +5m 8s | turing] Repaired malformed JSON.
[15:30:59 +5m 8s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 12/16
[15:31:06 +5m 15s | turing] Repaired malformed JSON.
[15:31:06 +5m 15s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 13/16
[15:31:14 +5m 23s | turing] Repaired malformed JSON.
[15:31:14 +5m 23s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 14/16
[15:31:18 +5m 28s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 15/16
[15:31:24 +5m 33s | turing] Extracting: https://www.turing.com/blog/rethinking-ai-benchmarks-for-real-world-impact (4/44), chunk 16/16
[15:31:32 +5m 41s | turing] Repaired malformed JSON.
[15:31:32 +5m 41s | turing] Reading page (5/44): https://www.turing.com/intelligence/talent
[15:31:32 +5m 41s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 1/13
[15:31:35 +5m 44s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 2/13
[15:31:39 +5m 48s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 3/13
[15:31:42 +5m 51s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 4/13
[15:31:48 +5m 57s | turing] Repaired malformed JSON.
[15:31:48 +5m 57s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 5/13
[15:31:56 +6m 5s | turing] Repaired malformed JSON.
[15:31:56 +6m 5s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 6/13
[15:32:00 +6m 9s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 7/13
[15:32:04 +6m 13s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 8/13
[15:32:08 +6m 17s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 9/13
[15:32:14 +6m 23s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 10/13
[15:32:21 +6m 30s | turing] Repaired malformed JSON.
[15:32:21 +6m 30s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 11/13
[15:32:29 +6m 39s | turing] Repaired malformed JSON.
[15:32:29 +6m 39s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 12/13
[15:32:34 +6m 43s | turing] Extracting: https://www.turing.com/intelligence/talent (5/44), chunk 13/13
[15:32:41 +6m 50s | turing] Repaired malformed JSON.
[15:32:41 +6m 50s | turing] Reading page (6/44): https://www.turing.com/intelligence/advise
[15:32:41 +6m 50s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 1/13
[15:32:45 +6m 54s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 2/13
[15:32:48 +6m 57s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 3/13
[15:32:56 +7m 5s | turing] Repaired malformed JSON.
[15:32:56 +7m 5s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 4/13
[15:33:02 +7m 11s | turing] Repaired malformed JSON.
[15:33:02 +7m 11s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 5/13
[15:33:10 +7m 19s | turing] Repaired malformed JSON.
[15:33:10 +7m 19s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 6/13
[15:33:13 +7m 22s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 7/13
[15:33:19 +7m 28s | turing] Repaired malformed JSON.
[15:33:19 +7m 28s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 8/13
[15:33:24 +7m 34s | turing] Repaired malformed JSON.
[15:33:24 +7m 34s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 9/13
[15:33:33 +7m 42s | turing] Repaired malformed JSON.
[15:33:33 +7m 42s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 10/13
[15:33:39 +7m 48s | turing] Repaired malformed JSON.
[15:33:39 +7m 48s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 11/13
[15:33:48 +7m 57s | turing] Repaired malformed JSON.
[15:33:48 +7m 57s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 12/13
[15:33:54 +8m 3s | turing] Extracting: https://www.turing.com/intelligence/advise (6/44), chunk 13/13
[15:33:58 +8m 7s | turing] Reading page (7/44): https://www.turing.com/blog/agi-advance-newsletter-61
[15:33:58 +8m 7s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 1/13
[15:34:01 +8m 10s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 2/13
[15:34:05 +8m 14s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 3/13
[15:34:11 +8m 21s | turing] Repaired malformed JSON.
[15:34:11 +8m 21s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 4/13
[15:34:20 +8m 29s | turing] Repaired malformed JSON.
[15:34:20 +8m 29s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 5/13
[15:34:27 +8m 36s | turing] Repaired malformed JSON.
[15:34:27 +8m 36s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 6/13
[15:34:34 +8m 43s | turing] Repaired malformed JSON.
[15:34:34 +8m 43s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 7/13
[15:34:44 +8m 53s | turing] Repaired malformed JSON.
[15:34:44 +8m 53s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 8/13
[15:34:52 +9m 1s | turing] Repaired malformed JSON.
[15:34:52 +9m 1s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 9/13
[15:34:58 +9m 7s | turing] Repaired malformed JSON.
[15:34:58 +9m 7s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 10/13
[15:35:03 +9m 13s | turing] Repaired malformed JSON.
[15:35:03 +9m 13s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 11/13
[15:35:08 +9m 17s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 12/13
[15:35:11 +9m 21s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-61 (7/44), chunk 13/13
[15:35:18 +9m 27s | turing] Repaired malformed JSON.
[15:35:18 +9m 27s | turing] Reading page (8/44): https://www.turing.com/blog
[15:35:18 +9m 27s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 1/9
[15:35:22 +9m 31s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 2/9
[15:35:26 +9m 35s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 3/9
[15:35:31 +9m 40s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 4/9
[15:35:35 +9m 44s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 5/9
[15:35:39 +9m 48s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 6/9
[15:35:44 +9m 53s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 7/9
[15:35:52 +10m 1s | turing] Repaired malformed JSON.
[15:35:52 +10m 1s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 8/9
[15:35:55 +10m 4s | turing] Extracting: https://www.turing.com/blog (8/44), chunk 9/9
[15:36:00 +10m 10s | turing] Reading page (9/44): https://www.turing.com/advance/domain
[15:36:00 +10m 10s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 1/14
[15:36:04 +10m 13s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 2/14
[15:36:11 +10m 20s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 3/14
[15:36:15 +10m 24s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 4/14
[15:36:23 +10m 32s | turing] Repaired malformed JSON.
[15:36:23 +10m 32s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 5/14
[15:36:30 +10m 39s | turing] Repaired malformed JSON.
[15:36:30 +10m 39s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 6/14
[15:36:38 +10m 47s | turing] Repaired malformed JSON.
[15:36:38 +10m 47s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 7/14
[15:36:44 +10m 53s | turing] Repaired malformed JSON.
[15:36:44 +10m 53s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 8/14
[15:36:48 +10m 57s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 9/14
[15:36:55 +11m 4s | turing] Repaired malformed JSON.
[15:36:55 +11m 4s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 10/14
[15:37:02 +11m 11s | turing] Repaired malformed JSON.
[15:37:02 +11m 11s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 11/14
[15:37:10 +11m 19s | turing] Repaired malformed JSON.
[15:37:10 +11m 19s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 12/14
[15:37:14 +11m 23s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 13/14
[15:37:20 +11m 29s | turing] Extracting: https://www.turing.com/advance/domain (9/44), chunk 14/14
[15:37:27 +11m 36s | turing] Repaired malformed JSON.
[15:37:27 +11m 36s | turing] Reading page (10/44): https://www.turing.com/intelligence
[15:37:27 +11m 36s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 1/17
[15:37:30 +11m 40s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 2/17
[15:37:35 +11m 44s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 3/17
[15:37:40 +11m 49s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 4/17
[15:37:47 +11m 56s | turing] Repaired malformed JSON.
[15:37:47 +11m 56s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 5/17
[15:37:53 +12m 2s | turing] Repaired malformed JSON.
[15:37:53 +12m 2s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 6/17
[15:37:56 +12m 5s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 7/17
[15:38:05 +12m 14s | turing] Repaired malformed JSON.
[15:38:05 +12m 14s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 8/17
[15:38:15 +12m 24s | turing] Repaired malformed JSON.
[15:38:15 +12m 24s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 9/17
[15:38:20 +12m 29s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 10/17
[15:38:27 +12m 36s | turing] Repaired malformed JSON.
[15:38:27 +12m 36s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 11/17
[15:38:37 +12m 46s | turing] Repaired malformed JSON.
[15:38:37 +12m 46s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 12/17
[15:38:41 +12m 50s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 13/17
[15:38:45 +12m 54s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 14/17
[15:38:53 +13m 2s | turing] Repaired malformed JSON.
[15:38:53 +13m 2s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 15/17
[15:39:02 +13m 11s | turing] Repaired malformed JSON.
[15:39:02 +13m 11s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 16/17
[15:39:05 +13m 15s | turing] Extracting: https://www.turing.com/intelligence (10/44), chunk 17/17
[15:39:14 +13m 23s | turing] Repaired malformed JSON.
[15:39:14 +13m 23s | turing] Reading page (11/44): https://research.turing.com/swebench
[15:39:14 +13m 23s | turing] Extracting: https://research.turing.com/swebench (11/44), chunk 1/6
[15:39:18 +13m 27s | turing] Extracting: https://research.turing.com/swebench (11/44), chunk 2/6
[15:39:24 +13m 33s | turing] Repaired malformed JSON.
[15:39:24 +13m 33s | turing] Extracting: https://research.turing.com/swebench (11/44), chunk 3/6
[15:39:32 +13m 41s | turing] Repaired malformed JSON.
[15:39:32 +13m 41s | turing] Extracting: https://research.turing.com/swebench (11/44), chunk 4/6
[15:39:39 +13m 48s | turing] Repaired malformed JSON.
[15:39:39 +13m 48s | turing] Extracting: https://research.turing.com/swebench (11/44), chunk 5/6
[15:39:46 +13m 56s | turing] Repaired malformed JSON.
[15:39:46 +13m 56s | turing] Extracting: https://research.turing.com/swebench (11/44), chunk 6/6
[15:39:56 +14m 5s | turing] Repaired malformed JSON.
[15:39:56 +14m 5s | turing] Reading page (12/44): https://www.turing.com/policy
[15:39:56 +14m 5s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 1/46
[15:39:59 +14m 8s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 2/46
[15:40:02 +14m 11s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 3/46
[15:40:07 +14m 16s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 4/46
[15:40:11 +14m 21s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 5/46
[15:40:21 +14m 30s | turing] Repaired malformed JSON.
[15:40:21 +14m 30s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 6/46
[15:40:27 +14m 36s | turing] Repaired malformed JSON.
[15:40:27 +14m 36s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 7/46
[15:40:32 +14m 41s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 8/46
[15:40:39 +14m 48s | turing] Repaired malformed JSON.
[15:40:39 +14m 48s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 9/46
[15:40:45 +14m 55s | turing] Repaired malformed JSON.
[15:40:45 +14m 55s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 10/46
[15:40:54 +15m 3s | turing] Repaired malformed JSON.
[15:40:54 +15m 3s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 11/46
[15:41:01 +15m 11s | turing] Repaired malformed JSON.
[15:41:01 +15m 11s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 12/46
[15:41:08 +15m 17s | turing] Repaired malformed JSON.
[15:41:08 +15m 17s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 13/46
[15:41:13 +15m 22s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 14/46
[15:41:19 +15m 28s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 15/46
[15:41:26 +15m 36s | turing] Repaired malformed JSON.
[15:41:26 +15m 36s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 16/46
[15:41:32 +15m 41s | turing] Repaired malformed JSON.
[15:41:32 +15m 41s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 17/46
[15:41:39 +15m 49s | turing] Repaired malformed JSON.
[15:41:39 +15m 49s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 18/46
[15:41:45 +15m 55s | turing] Repaired malformed JSON.
[15:41:45 +15m 55s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 19/46
[15:41:53 +16m 2s | turing] Repaired malformed JSON.
[15:41:53 +16m 2s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 20/46
[15:41:57 +16m 6s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 21/46
[15:42:04 +16m 13s | turing] Repaired malformed JSON.
[15:42:04 +16m 13s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 22/46
[15:42:12 +16m 21s | turing] Repaired malformed JSON.
[15:42:12 +16m 21s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 23/46
[15:42:18 +16m 27s | turing] Repaired malformed JSON.
[15:42:18 +16m 27s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 24/46
[15:42:26 +16m 35s | turing] Repaired malformed JSON.
[15:42:26 +16m 35s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 25/46
[15:42:32 +16m 41s | turing] Repaired malformed JSON.
[15:42:32 +16m 41s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 26/46
[15:42:39 +16m 48s | turing] Repaired malformed JSON.
[15:42:39 +16m 48s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 27/46
[15:42:44 +16m 54s | turing] Repaired malformed JSON.
[15:42:44 +16m 54s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 28/46
[15:42:53 +17m 2s | turing] Repaired malformed JSON.
[15:42:53 +17m 2s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 29/46
[15:43:01 +17m 10s | turing] Repaired malformed JSON.
[15:43:01 +17m 10s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 30/46
[15:43:09 +17m 19s | turing] Repaired malformed JSON.
[15:43:09 +17m 19s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 31/46
[15:43:15 +17m 24s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 32/46
[15:43:22 +17m 32s | turing] Repaired malformed JSON.
[15:43:22 +17m 32s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 33/46
[15:43:27 +17m 36s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 34/46
[15:43:32 +17m 42s | turing] Repaired malformed JSON.
[15:43:32 +17m 42s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 35/46
[15:43:37 +17m 46s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 36/46
[15:43:46 +17m 55s | turing] Repaired malformed JSON.
[15:43:46 +17m 55s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 37/46
[15:43:54 +18m 3s | turing] Repaired malformed JSON.
[15:43:54 +18m 3s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 38/46
[15:44:00 +18m 10s | turing] Repaired malformed JSON.
[15:44:00 +18m 10s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 39/46
[15:44:07 +18m 16s | turing] Repaired malformed JSON.
[15:44:07 +18m 16s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 40/46
[15:44:14 +18m 23s | turing] Repaired malformed JSON.
[15:44:14 +18m 23s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 41/46
[15:44:22 +18m 31s | turing] Repaired malformed JSON.
[15:44:22 +18m 31s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 42/46
[15:44:31 +18m 40s | turing] Repaired malformed JSON.
[15:44:31 +18m 40s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 43/46
[15:44:40 +18m 50s | turing] Repaired malformed JSON.
[15:44:40 +18m 50s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 44/46
[15:44:45 +18m 55s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 45/46
[15:44:48 +18m 58s | turing] Extracting: https://www.turing.com/policy (12/44), chunk 46/46
[15:44:54 +19m 3s | turing] Reading page (13/44): https://www.turing.com/blog/agi-advance-newsletter-65
[15:44:54 +19m 3s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 1/14
[15:44:59 +19m 8s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 2/14
[15:45:02 +19m 11s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 3/14
[15:45:09 +19m 18s | turing] Repaired malformed JSON.
[15:45:09 +19m 18s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 4/14
[15:45:14 +19m 23s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 5/14
[15:45:21 +19m 31s | turing] Repaired malformed JSON.
[15:45:21 +19m 31s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 6/14
[15:45:28 +19m 37s | turing] Repaired malformed JSON.
[15:45:28 +19m 37s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 7/14
[15:45:37 +19m 46s | turing] Repaired malformed JSON.
[15:45:37 +19m 46s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 8/14
[15:45:43 +19m 52s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 9/14
[15:45:47 +19m 56s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 10/14
[15:45:57 +20m 6s | turing] Repaired malformed JSON.
[15:45:57 +20m 6s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 11/14
[15:46:06 +20m 16s | turing] Repaired malformed JSON.
[15:46:06 +20m 16s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 12/14
[15:46:12 +20m 21s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 13/14
[15:46:18 +20m 27s | turing] Extracting: https://www.turing.com/blog/agi-advance-newsletter-65 (13/44), chunk 14/14
[15:46:27 +20m 36s | turing] Repaired malformed JSON.
[15:46:27 +20m 36s | turing] Reading page (15/44): https://www.turing.com/blog/agi-advance-newsletter-63
