
========================================================================
RUN STARTED  2026-06-16 22:16:01
site_pipeline.py https://www.bluequbit.io/
========================================================================

[22:16:01 +0s | bluequbit] === 0 crawl site ===
[22:16:06 +3s | bluequbit] [INIT].... → Crawl4AI 0.8.6 
[22:16:08 +4s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/                                                                            | ✓ | ⏱: 1.28s 
[22:16:28 +24s | bluequbit] Reading page (1/46): https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications
[22:16:28 +24s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 1/9
[22:16:34 +30s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 2/9
[22:16:44 +38s | bluequbit] Repaired malformed JSON.
[22:16:44 +38s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 3/9
[22:16:51 +44s | bluequbit] Repaired malformed JSON.
[22:16:51 +44s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 4/9
[22:16:55 +49s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 5/9
[22:17:02 +55s | bluequbit] Repaired malformed JSON.
[22:17:02 +55s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 6/9
[22:17:08 +1m 2s | bluequbit] Repaired malformed JSON.
[22:17:08 +1m 2s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 7/9
[22:17:18 +1m 9s | bluequbit] Repaired malformed JSON.
[22:17:18 +1m 9s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 8/9
[22:17:24 +1m 15s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-ai-for-quantum-applications (1/46), chunk 9/9
[22:17:33 +1m 23s | bluequbit] Repaired malformed JSON.
[22:17:33 +1m 23s | bluequbit] Reading page (2/46): https://www.bluequbit.io/pricing
[22:17:33 +1m 23s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 1/15
[22:17:34 +1m 25s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 2/15
[22:17:38 +1m 29s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 3/15
[22:17:42 +1m 32s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 4/15
[22:17:53 +1m 40s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 5/15
[22:17:58 +1m 45s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 6/15
[22:18:01 +1m 49s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 7/15
[22:18:08 +1m 56s | bluequbit] Repaired malformed JSON.
[22:18:08 +1m 56s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 8/15
[22:18:16 +2m 4s | bluequbit] Repaired malformed JSON.
[22:18:16 +2m 4s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 9/15
[22:18:27 +2m 11s | bluequbit] Repaired malformed JSON.
[22:18:27 +2m 11s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 10/15
[22:18:34 +2m 19s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 11/15
[22:18:41 +2m 26s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 12/15
[22:18:45 +2m 29s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 13/15
[22:18:50 +2m 35s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 14/15
[22:18:53 +2m 38s | bluequbit] Extracting: https://www.bluequbit.io/pricing (2/46), chunk 15/15
[22:18:56 +2m 41s | bluequbit] Reading page (3/46): https://www.bluequbit.io/quantum-mechanical-model
[22:18:56 +2m 41s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 1/18
[22:19:05 +2m 46s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 2/18
[22:19:13 +2m 54s | bluequbit] Repaired malformed JSON.
[22:19:13 +2m 54s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 3/18
[22:19:21 +3m 3s | bluequbit] Repaired malformed JSON.
[22:19:21 +3m 3s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 4/18
[22:19:29 +3m 11s | bluequbit] Repaired malformed JSON.
[22:19:29 +3m 11s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 5/18
[22:19:37 +3m 16s | bluequbit] Repaired malformed JSON.
[22:19:37 +3m 16s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 6/18
[22:19:45 +3m 24s | bluequbit] Repaired malformed JSON.
[22:19:45 +3m 24s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 7/18
[22:19:54 +3m 33s | bluequbit] Repaired malformed JSON.
[22:19:54 +3m 33s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 8/18
[22:19:58 +3m 36s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 9/18
[22:20:04 +3m 43s | bluequbit] Repaired malformed JSON.
[22:20:04 +3m 43s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 10/18
[22:20:15 +3m 50s | bluequbit] Repaired malformed JSON.
[22:20:15 +3m 50s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 11/18
[22:20:23 +3m 58s | bluequbit] Repaired malformed JSON.
[22:20:23 +3m 58s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 12/18
[22:20:30 +4m 5s | bluequbit] Repaired malformed JSON.
[22:20:30 +4m 5s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 13/18
[22:20:34 +4m 9s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 14/18
[22:20:38 +4m 13s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 15/18
[22:20:44 +4m 19s | bluequbit] Repaired malformed JSON.
[22:20:44 +4m 19s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 16/18
[22:20:53 +4m 25s | bluequbit] Repaired malformed JSON.
[22:20:53 +4m 25s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 17/18
[22:21:00 +4m 31s | bluequbit] Extracting: https://www.bluequbit.io/quantum-mechanical-model (3/46), chunk 18/18
[22:21:06 +4m 38s | bluequbit] Repaired malformed JSON.
[22:21:06 +4m 38s | bluequbit] Reading page (4/46): https://www.bluequbit.io/blog
[22:21:06 +4m 38s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 1/10
[22:21:10 +4m 42s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 2/10
[22:21:20 +4m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 3/10
[22:21:28 +4m 57s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 4/10
[22:21:33 +5m 2s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 5/10
[22:21:41 +5m 10s | bluequbit] Repaired malformed JSON.
[22:21:41 +5m 10s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 6/10
[22:21:46 +5m 14s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 7/10
[22:21:51 +5m 19s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 8/10
[22:22:00 +5m 26s | bluequbit] Repaired malformed JSON.
[22:22:00 +5m 26s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 9/10
[22:22:07 +5m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog (4/46), chunk 10/10
[22:22:09 +5m 34s | bluequbit] Reading page (5/46): https://www.bluequbit.io/blog/bluequbit-darpa
[22:22:09 +5m 34s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-darpa (5/46), chunk 1/7
[22:22:15 +5m 41s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-darpa (5/46), chunk 2/7
[22:22:22 +5m 47s | bluequbit] Repaired malformed JSON.
[22:22:22 +5m 47s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-darpa (5/46), chunk 3/7
[22:22:30 +5m 56s | bluequbit] Repaired malformed JSON.
[22:22:30 +5m 56s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-darpa (5/46), chunk 4/7
[22:22:39 +6m 2s | bluequbit] Repaired malformed JSON.
[22:22:39 +6m 2s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-darpa (5/46), chunk 5/7
[22:22:46 +6m 8s | bluequbit] Repaired malformed JSON.
[22:22:46 +6m 8s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-darpa (5/46), chunk 6/7
[22:22:51 +6m 13s | bluequbit] Repaired malformed JSON.
[22:22:51 +6m 13s | bluequbit] Extracting: https://www.bluequbit.io/blog/bluequbit-darpa (5/46), chunk 7/7
[22:23:00 +6m 22s | bluequbit] Repaired malformed JSON.
[22:23:00 +6m 22s | bluequbit] Reading page (6/46): https://www.bluequbit.io/blog-author/arul-rhik-mazumder
[22:23:00 +6m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog-author/arul-rhik-mazumder (6/46), chunk 1/3
[22:23:10 +6m 29s | bluequbit] Repaired malformed JSON.
[22:23:10 +6m 29s | bluequbit] Extracting: https://www.bluequbit.io/blog-author/arul-rhik-mazumder (6/46), chunk 2/3
[22:23:18 +6m 37s | bluequbit] Repaired malformed JSON.
[22:23:18 +6m 37s | bluequbit] Extracting: https://www.bluequbit.io/blog-author/arul-rhik-mazumder (6/46), chunk 3/3
[22:23:25 +6m 44s | bluequbit] Repaired malformed JSON.
[22:23:25 +6m 44s | bluequbit] Reading page (7/46): https://www.bluequbit.io/blog/quantum-computing-software-platforms
[22:23:25 +6m 44s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 1/16
[22:23:30 +6m 49s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 2/16
[22:23:37 +6m 56s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 3/16
[22:23:47 +7m 3s | bluequbit] Repaired malformed JSON.
[22:23:47 +7m 3s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 4/16
[22:23:54 +7m 10s | bluequbit] Repaired malformed JSON.
[22:23:54 +7m 10s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 5/16
[22:24:00 +7m 16s | bluequbit] Repaired malformed JSON.
[22:24:00 +7m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 6/16
[22:24:06 +7m 22s | bluequbit] Repaired malformed JSON.
[22:24:06 +7m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 7/16
[22:24:14 +7m 29s | bluequbit] Repaired malformed JSON.
[22:24:14 +7m 29s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 8/16
[22:24:26 +7m 39s | bluequbit] Repaired malformed JSON.
[22:24:26 +7m 39s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 9/16
[22:24:35 +7m 47s | bluequbit] Repaired malformed JSON.
[22:24:35 +7m 47s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 10/16
[22:24:42 +7m 54s | bluequbit] Repaired malformed JSON.
[22:24:42 +7m 54s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 11/16
[22:24:49 +8m 1s | bluequbit] Repaired malformed JSON.
[22:24:49 +8m 1s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 12/16
[22:25:01 +8m 11s | bluequbit] Repaired malformed JSON.
[22:25:01 +8m 11s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 13/16
[22:25:05 +8m 15s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 14/16
[22:25:13 +8m 22s | bluequbit] Repaired malformed JSON.
[22:25:13 +8m 22s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 15/16
[22:25:21 +8m 30s | bluequbit] Repaired malformed JSON.
[22:25:21 +8m 30s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-software-platforms (7/46), chunk 16/16
[22:25:33 +8m 39s | bluequbit] Repaired malformed JSON.
[22:25:33 +8m 39s | bluequbit] Reading page (8/46): https://www.bluequbit.io/quantum-computing-software-platforms
[22:25:33 +8m 39s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 1/16
[22:25:39 +8m 45s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 2/16
[22:25:43 +8m 49s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 3/16
[22:25:52 +8m 58s | bluequbit] Repaired malformed JSON.
[22:25:52 +8m 58s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 4/16
[22:26:01 +9m 7s | bluequbit] Repaired malformed JSON.
[22:26:01 +9m 7s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 5/16
[22:26:11 +9m 14s | bluequbit] Repaired malformed JSON.
[22:26:11 +9m 14s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 6/16
[22:26:18 +9m 20s | bluequbit] Repaired malformed JSON.
[22:26:18 +9m 20s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 7/16
[22:26:27 +9m 29s | bluequbit] Repaired malformed JSON.
[22:26:27 +9m 29s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 8/16
[22:26:33 +9m 36s | bluequbit] Repaired malformed JSON.
[22:26:33 +9m 36s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 9/16
[22:26:45 +9m 45s | bluequbit] Repaired malformed JSON.
[22:26:45 +9m 45s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 10/16
[22:26:51 +9m 51s | bluequbit] Repaired malformed JSON.
[22:26:51 +9m 51s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 11/16
[22:26:57 +9m 57s | bluequbit] Repaired malformed JSON.
[22:26:57 +9m 57s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 12/16
[22:27:06 +10m 6s | bluequbit] Repaired malformed JSON.
[22:27:06 +10m 6s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 13/16
[22:27:11 +10m 10s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 14/16
[22:27:20 +10m 16s | bluequbit] Repaired malformed JSON.
[22:27:20 +10m 16s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 15/16
[22:27:27 +10m 23s | bluequbit] Repaired malformed JSON.
[22:27:27 +10m 23s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-software-platforms (8/46), chunk 16/16
[22:27:33 +10m 30s | bluequbit] Repaired malformed JSON.
[22:27:33 +10m 30s | bluequbit] Reading page (9/46): https://app.bluequbit.io/sdk-docs/LICENSE.html
[22:27:33 +10m 30s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 1/14
[22:27:36 +10m 32s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 2/14
[22:27:45 +10m 42s | bluequbit] Repaired malformed JSON.
[22:27:45 +10m 42s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 3/14
[22:27:56 +10m 50s | bluequbit] Repaired malformed JSON.
[22:27:56 +10m 50s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 4/14
[22:28:01 +10m 55s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 5/14
[22:28:08 +11m 2s | bluequbit] Repaired malformed JSON.
[22:28:08 +11m 2s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 6/14
[22:28:16 +11m 10s | bluequbit] Repaired malformed JSON.
[22:28:16 +11m 10s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 7/14
[22:28:23 +11m 16s | bluequbit] Repaired malformed JSON.
[22:28:23 +11m 16s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 8/14
[22:28:36 +11m 27s | bluequbit] Repaired malformed JSON.
[22:28:36 +11m 27s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 9/14
[22:28:45 +11m 35s | bluequbit] Repaired malformed JSON.
[22:28:45 +11m 35s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 10/14
[22:28:51 +11m 42s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 11/14
[22:28:59 +11m 49s | bluequbit] Repaired malformed JSON.
[22:28:59 +11m 49s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 12/14
[22:29:07 +11m 55s | bluequbit] Repaired malformed JSON.
[22:29:07 +11m 55s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 13/14
[22:29:16 +12m 3s | bluequbit] Repaired malformed JSON.
[22:29:16 +12m 3s | bluequbit] Extracting: https://app.bluequbit.io/sdk-docs/LICENSE.html (9/46), chunk 14/14
[22:29:21 +12m 9s | bluequbit] Repaired malformed JSON.
[22:29:21 +12m 9s | bluequbit] Reading page (10/46): https://www.bluequbit.io/team
[22:29:21 +12m 9s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 1/10
[22:29:29 +12m 17s | bluequbit] Repaired malformed JSON.
[22:29:29 +12m 17s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 2/10
[22:29:34 +12m 21s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 3/10
[22:29:41 +12m 26s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 4/10
[22:29:47 +12m 31s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 5/10
[22:29:50 +12m 34s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 6/10
[22:29:55 +12m 39s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 7/10
[22:29:59 +12m 43s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 8/10
[22:30:04 +12m 48s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 9/10
[22:30:10 +12m 54s | bluequbit] Extracting: https://www.bluequbit.io/team (10/46), chunk 10/10
[22:30:18 +12m 59s | bluequbit] Reading page (11/46): https://www.bluequbit.io/blog-author/hayk-tepanyan
[22:30:18 +12m 59s | bluequbit] Extracting: https://www.bluequbit.io/blog-author/hayk-tepanyan (11/46), chunk 1/2
[22:30:24 +13m 5s | bluequbit] Repaired malformed JSON.
[22:30:24 +13m 5s | bluequbit] Extracting: https://www.bluequbit.io/blog-author/hayk-tepanyan (11/46), chunk 2/2
[22:30:33 +13m 15s | bluequbit] Repaired malformed JSON.
[22:30:33 +13m 15s | bluequbit] Reading page (12/46): https://www.bluequbit.io/blog/quantum-computing-hardware
[22:30:33 +13m 15s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 1/20
[22:30:38 +13m 19s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 2/20
[22:30:43 +13m 24s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 3/20
[22:30:53 +13m 31s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 4/20
[22:30:57 +13m 35s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 5/20
[22:31:02 +13m 39s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 6/20
[22:31:07 +13m 45s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 7/20
[22:31:14 +13m 51s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 8/20
[22:31:17 +13m 55s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 9/20
[22:31:20 +13m 58s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 10/20
[22:31:28 +14m 3s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 11/20
[22:31:34 +14m 8s | bluequbit] Repaired malformed JSON.
[22:31:34 +14m 8s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 12/20
[22:31:41 +14m 16s | bluequbit] Repaired malformed JSON.
[22:31:41 +14m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 13/20
[22:31:51 +14m 26s | bluequbit] Repaired malformed JSON.
[22:31:51 +14m 26s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 14/20
[22:31:59 +14m 33s | bluequbit] Repaired malformed JSON.
[22:31:59 +14m 33s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 15/20
[22:32:05 +14m 39s | bluequbit] Repaired malformed JSON.
[22:32:05 +14m 39s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 16/20
[22:32:17 +14m 48s | bluequbit] Repaired malformed JSON.
[22:32:17 +14m 48s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 17/20
[22:32:24 +14m 55s | bluequbit] Repaired malformed JSON.
[22:32:24 +14m 55s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 18/20
[22:32:33 +15m 4s | bluequbit] Repaired malformed JSON.
[22:32:33 +15m 4s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 19/20
[22:32:44 +15m 14s | bluequbit] Repaired malformed JSON.
[22:32:44 +15m 14s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-computing-hardware (12/46), chunk 20/20
[22:32:49 +15m 20s | bluequbit] Reading page (13/46): https://www.bluequbit.io/research
[22:32:49 +15m 20s | bluequbit] Extracting: https://www.bluequbit.io/research (13/46), chunk 1/5
[22:32:53 +15m 24s | bluequbit] Extracting: https://www.bluequbit.io/research (13/46), chunk 2/5
[22:33:01 +15m 32s | bluequbit] Extracting: https://www.bluequbit.io/research (13/46), chunk 3/5
[22:33:07 +15m 38s | bluequbit] Repaired malformed JSON.
[22:33:07 +15m 38s | bluequbit] Extracting: https://www.bluequbit.io/research (13/46), chunk 4/5
[22:33:10 +15m 41s | bluequbit] Extracting: https://www.bluequbit.io/research (13/46), chunk 5/5
[22:33:18 +15m 50s | bluequbit] Repaired malformed JSON.
[22:33:18 +15m 50s | bluequbit] Reading page (14/46): https://www.bluequbit.io/quantum-computing-algorithms
[22:33:18 +15m 50s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 1/11
[22:33:30 +15m 59s | bluequbit] Repaired malformed JSON.
[22:33:30 +15m 59s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 2/11
[22:33:39 +16m 8s | bluequbit] Repaired malformed JSON.
[22:33:39 +16m 8s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 3/11
[22:33:48 +16m 17s | bluequbit] Repaired malformed JSON.
[22:33:48 +16m 17s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 4/11
[22:33:53 +16m 23s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 5/11
[22:34:04 +16m 32s | bluequbit] Repaired malformed JSON.
[22:34:04 +16m 32s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 6/11
[22:34:13 +16m 40s | bluequbit] Repaired malformed JSON.
[22:34:13 +16m 40s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 7/11
[22:34:21 +16m 48s | bluequbit] Repaired malformed JSON.
[22:34:21 +16m 48s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 8/11
[22:34:28 +16m 56s | bluequbit] Repaired malformed JSON.
[22:34:28 +16m 56s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 9/11
[22:34:40 +17m 5s | bluequbit] Repaired malformed JSON.
[22:34:40 +17m 5s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 10/11
[22:34:48 +17m 13s | bluequbit] Repaired malformed JSON.
[22:34:48 +17m 13s | bluequbit] Extracting: https://www.bluequbit.io/quantum-computing-algorithms (14/46), chunk 11/11
[22:34:54 +17m 19s | bluequbit] Reading page (15/46): https://www.bluequbit.io/blog/quantum-annealing
[22:34:54 +17m 19s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 1/17
[22:34:58 +17m 23s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 2/17
[22:35:09 +17m 32s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 3/17
[22:35:18 +17m 41s | bluequbit] Repaired malformed JSON.
[22:35:18 +17m 41s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 4/17
[22:35:25 +17m 48s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 5/17
[22:35:33 +17m 56s | bluequbit] Repaired malformed JSON.
[22:35:33 +17m 56s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 6/17
[22:35:43 +18m 4s | bluequbit] Repaired malformed JSON.
[22:35:43 +18m 4s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 7/17
[22:35:47 +18m 7s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 8/17
[22:35:55 +18m 16s | bluequbit] Repaired malformed JSON.
[22:35:55 +18m 16s | bluequbit] Extracting: https://www.bluequbit.io/blog/quantum-annealing (15/46), chunk 9/17
