
========================================================================
RUN STARTED  2026-06-17 17:31:31
site_pipeline.py https://www.intel.com/content/www/us/en/research/quantum-computing.html
========================================================================

[17:31:31 +0s | intel_content_www_us_en_research_quantum_computing_html] === 0 crawl site ===
[17:31:34 +2s | intel_content_www_us_en_research_quantum_computing_html] [INIT].... → Crawl4AI 0.8.6 
[17:31:36 +5s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 2.34s 
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/560d632751_download.intel.com_newsroom_archive_2025_en-us-2020-01-08-mobileye-raises-the-bar-2020-ces-roundup.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/f8611a0f2b_download.intel.com_newsroom_archive_2025_en-us-2020-01-20-counting-antarctic-penguins-with-ai.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/87a2a09667_download.intel.com_newsroom_archive_2025_en-us-2020-01-07-2020-ces-mobileyes-global-ambitions-take-shape-with-new-deals-in-china-south-korea.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/752df38536_download.intel.com_newsroom_archive_2025_en-us-2020-01-21-intel-board-of-directors-elects-new-chairman-and-new-director.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/85f227bd23_download.intel.com_newsroom_archive_2025_en-us-2020-01-07-2020-ces-unedited-ride-in-mobileyes-cameradriven-autonomous-vehicle.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/afbd249000_download.intel.com_newsroom_archive_2025_en-us-2020-01-13-in-the-news-mobileyes-autonomous-industry-leadership.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/c78826e8ff_www.intel.com_content_www_us_en_jobs_jobs-at-intel.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/9a53e58041_jobs.intel.com_ListJobs_ByKeyword_Research%20Scientist.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/045c35f2ec_download.intel.com_newsroom_archive_2025_en-us-2021-01-06-introducing-intel-realsense-id-facial-authentication.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/2230414391_download.intel.com_newsroom_archive_2025_en-us-2021-01-11-ces-2021-intel-announces-four-new-processor-families.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/69d1907182_community.intel.com_t5_Blogs_Intel_We-Are-Intel_A-New-Era-of-Leadership-Meet-Carrie-Chen-Intel-Taiwan-s-First_post_1607593.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/a8600748ff_community.intel.com_t5_Blogs_Intel_We-Are-Intel_bg-p_blog-weareintel.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/da925db12b_download.intel.com_newsroom_archive_2025_en-us-2021-01-11-ces-2021-intel-news-conference-gregory-bryant-do-more-with-the-power-of-computing-replay--live-blog.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/a3479123af_download.intel.com_newsroom_archive_2025_en-us-2021-01-11-ces-2021-intel-starts-production-of-10nm-xeon-scalable-processors.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/479dee324c_download.intel.com_newsroom_archive_2025_en-us-2021-01-11-ces-2021-mobileye-innovation-will-bring-avs-to-everyone-everywhere.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/584c4cba37_download.intel.com_newsroom_archive_2025_en-us-2021-01-11-ces-2021-intel-news-conference-amnon-shashua%E2%80%AFits-time-to-go-replay.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/e77467d042_download.intel.com_newsroom_archive_2025_en-us-2021-01-07-turn-a-touch-interface-touchless-with-intel-realsense-tcs.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/a223b988b6_download.intel.com_newsroom_archive_2025_en-us-2021-01-12-ces-2021-under-the-hood-with-prof-amnon-shashua-replay--live-blog.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/b7a8d7ed92_download.intel.com_newsroom_archive_2025_en-us-2022-01-03-ces-udelv-unveils-mobileyepowered-av-transporter.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/c12813690b_download.intel.com_newsroom_archive_2025_en-us-2021-01-12-red-hat-and-intel-blaze-a-more-flexible-path-to-5g-services.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/8c2fa0948e_download.intel.com_newsroom_archive_2025_en-us-2022-01-04-intel-vpro-platform.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/57d88d8f99_download.intel.com_newsroom_archive_2025_en-us-2022-01-04-ces-mobileye-zeekr-collaborate-on-consumer-av.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/7cd36ecd01_community.intel.com_t5_Intel-Quantum-SDK_bd-p_intel-quantum-sdk.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/e7b6a2d6a4_download.intel.com_newsroom_archive_2025_en-us-2021-01-13-ces-2021-thomas-friedman-and-prof-amnon-shashua-replay.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/2202686e75_download.intel.com_newsroom_archive_2025_en-us-2021-01-07-intel-unveils-new-partner-alliance-to-unify-the-channel.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/93c6bf49a0_download.intel.com_newsroom_archive_2025_en-us-2022-01-04-one-intel-news-conference-replay.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/4e9bd5c933_download.intel.com_newsroom_archive_2025_en-us-2022-01-04-new-mobileye-eyeq-ultra-will-enable-consumer-avs.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/bebbb6aff5_download.intel.com_newsroom_archive_2025_en-us-2022-01-05-mobileyes-selfdriving-secret-200pb-of-data.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/54acdd606e_download.intel.com_newsroom_archive_2025_en-us-2022-01-05-mobileyes-under-the-hood-replay.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/b8f23e4b08_download.intel.com_newsroom_archive_2025_en-us-2022-01-10-intel-names-david-zinsner-executive-vice-president-and-chief-financial-officer.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/088b1506d7_download.intel.com_newsroom_archive_2025_en-us-2022-01-06-mobileye-at-ces-2022.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/45ac3dec78_download.intel.com_newsroom_archive_2025_en-us-2022-01-06-intel-at-ces-2022.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/22b8eea4c1_download.intel.com_newsroom_archive_2025_en-us-2022-01-10-intel-names-michelle-johnston-holthaus-head-of-client-computing-business.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/5fcf844605_download.intel.com_newsroom_archive_2025_en-us-2023-01-10-intel-introduces-4th-gen-xeon-scalable-max-series-replay.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/0a032c9125_download.intel.com_newsroom_archive_2025_en-us-2023-01-04-intel-to-report-fourth-quarter-and-full-year-2022-financial-results.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/005578eeb9_download.intel.com_newsroom_archive_2025_en-us-2023-02-01-intel-and-uc-san-diego-join-darpa-program-to-prevent-exploitation-of-computing-systems.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/9aeb4c966b_download.intel.com_newsroom_archive_2025_en-us-2023-01-03-ces-intel-extends-performance-leadership-with-worlds-fastest-mobile-processor.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/9e9e6b9bfb_download.intel.com_newsroom_archive_2025_en-us-2022-01-18-intel-retail-study-the-pandemics-effect-on-consumer-behavior.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/215fca9848_download.intel.com_newsroom_archive_2025_en-us-2022-01-18-intel-and-asml-strengthen-their-collaboration-to-drive-highna-into-manufacturing-in-2025.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/bf999aed8e_download.intel.com_newsroom_archive_2025_en-us-2023-01-26-intel-reports-fourth-quarter-and-full-year-2022-financial-results.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/1f36124445_download.intel.com_newsroom_archive_2025_en-us-2023-01-10-intel-launches-4th-gen-xeon-scalable-processors-max-series-cpus.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/7beba78fb9_download.intel.com_newsroom_archive_2025_en-us-2023-01-23-intel-board-of-directors-appoints-frank-d-yeary-as-new-independent-chair.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/d19dc81978_download.intel.com_newsroom_archive_2025_en-us-2023-01-12-13th-gen-intel-core-i913900ks-brings-unprecedented-speed-to-desktop-users.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/a998fe9f06_download.intel.com_newsroom_archive_2025_en-us-2023-01-05-meet-an-intel-manufacturing-tech.pdf.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/243b6aee5f_jobs.intel.com_en.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/247dd367b5_newsroom.intel.com_5g-wireless.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/f681221259_jobs.intel.com_en_life-at-intel.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/05c7abe1d0_jobs.intel.com_en_career-pathways.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/5efdcf9988_newsroom.intel.com_altera.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/77608f9eb9_newsroom.intel.com_intel-products.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/5df31f99a1_newsroom.intel.com_artificial-intelligence.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/ec777590e7_newsroom.intel.com_intel-foundry.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/eb0f2f8e9c_newsroom.intel.com_new-technologies_intel-newsroom-archive-2021.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/9c46c4ccb3_downloadcenter.intel.com_th.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/89b54eaf27_newsroom.intel.com_automotive.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/f58d4210c1_newsroom.intel.com_corporate.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/dddc8c4a8f_newsroom.intel.com_new-technologies_intel-newsroom-archive-2020.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/04e314a1b4_newsroom.intel.com_mwc-2026.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/37a47c70f3_newsroom.intel.com_new-technologies_intel-newsroom-archive-2023.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/b1e2bf8c50_newsroom.intel.com_client-computing.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/6e21019e80_newsroom.intel.com_new-technologies.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/2bec847fde_newsroom.intel.com_new-technologies_intel-newsroom-archive-2022.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/d383749e09_newsroom.intel.com_news.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/63bb57da8f_newsroom.intel.com_data-center.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/35669bcee8_newsroom.intel.com_manufacturing.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/24bfd2224c_newsroom.intel.com_press-kits.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/219e16a020_newsroom.intel.com_security.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/6855c52e59_newsroom.intel.com_biographies.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/53441f755a_newsroom.intel.com_opinions.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/7080c15b49_newsroom.intel.com_software.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/64be189ed4_thailand.intel.com_content_www_th_th_homepage.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/6125d235ac_www.intel.com_content_www_us_en_artificial-intelligence_overview.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/bd3e7e490f_www.intel.com_content_www_us_en_corporate-responsibility_our-values.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/9e1d939f44_www.intel.com_content_www_us_en_products_details_processors.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/46010eea47_www.intel.com_content_www_us_en_developer_overview.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/334905b509_www.intel.com_content_www_us_en_foundry_overview.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/6750a0383f_www.intel.com_content_www_us_en_products_details_processors_arc_g-series_handheld-gaming.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/b8860f0070_www.intel.com_content_www_us_en_secure_my-intel_dashboard.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/e29ad03729_www.intel.com_content_www_us_en_products_details_processors_atom.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/2f288abc5c_www.intel.com_content_www_us_en_jobs_benefits.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/4e78a0fd61_www.intel.com_content_www_us_en_download-center_home.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/a72ef45625_www.intel.com_content_www_us_en_products_details_processors_core.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/1a52512541_www.intel.com_content_www_us_en_jobs_overlay-accordion-video-1-2-close.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/18b3735b0c_www.thailand.intel.com_content_www_th_th_company-overview_company-overview.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/310335c775_www.intel.com_content_www_us_en_products_details_processors_core-ultra.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/7db4bdc023_www.intel.com_content_www_us_en_products_details_network-io_intelligent-fabric-processors.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/a29a4e1cd2_www.intel.com_content_www_us_en_products_details_processors_xeon_all.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/6f824d0137_www.thailand.intel.com_content_www_th_th_corporate-responsibility_corporate-responsibility.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/457ce754d8_www.thailand.intel.com_content_www_th_th_homepage.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/a162f4513f_www.thailand.intel.com_content_www_th_th_download-center_home.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/c97691612a_www.thailand.intel.com_content_www_th_th_inclusion_inclusion-at-intel.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Duplicate skipped: https://www.intel.com/content/www/us/en/products/overview.html
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/df0f1b9514_www.thailand.intel.com_content_www_th_th_products_overview.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Duplicate skipped: https://www.thailand.intel.com/content/www/th/th/products/overview.html
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/97e758c0f9_www.thailand.intel.com_content_www_th_th_research_partnerships.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/e4a508becf_www.thailand.intel.com_content_www_th_th_siteindex.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/848a31dc3f_www.thailand.intel.com_content_www_us_en_newsroom_resources_press-kits-quantum-computing.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Skipped: https://www.thailand.intel.com/content/www/th/th/legal/terms-of-use.html
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/483270078e_www.thailand.intel.com_content_www_th_th_support.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/485d1a09df_www.thailand.intel.com_content_www_th_th_support_contact-us.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/8d420fe30c_www.intel.com_content_www_us_en_products_details_processors_xeon_max-series.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/5724383e11_www.intel.com_content_www_us_en_support_contact-intel.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/0231406fce_www.intel.com_content_www_us_en_search.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/e559f4d4b2_www.intel.com_content_www_us_en_products_details_servers.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/8e22488238_www.intel.com_content_www_us_en_support_campus-locations.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/edb01568a4_www.thailand.intel.com_content_www_us_en_research_neuromorphic-computing.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/83010f2610_www.thailand.intel.com_content_www_us_en_research_overview.html.json
[17:32:17 +46s | intel_content_www_us_en_research_quantum_computing_html] Saved: crawl_output/cce9eff9c6_www.thailand.intel.com_content_www_us_en_research_emerging-innovations.html.json

[17:32:18 +46s | intel_content_www_us_en_research_quantum_computing_html] === 1 actor extraction ===
[17:32:18 +47s | intel_content_www_us_en_research_quantum_computing_html] Reading page (2/133): https://www.intel.com/content/www/us/en/search.html
[17:32:18 +47s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 1/20
[17:32:20 +48s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 2/20
[17:32:24 +52s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 3/20
[17:32:27 +56s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 4/20
[17:32:33 +1m 1s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 5/20
[17:32:39 +1m 8s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 6/20
[17:32:43 +1m 12s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 7/20
[17:32:48 +1m 17s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 8/20
[17:32:53 +1m 21s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 9/20
[17:32:58 +1m 27s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 10/20
[17:33:03 +1m 32s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 11/20
[17:33:08 +1m 36s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 12/20
[17:33:13 +1m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 13/20
[17:33:18 +1m 47s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 14/20
[17:33:23 +1m 52s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 15/20
[17:33:33 +2m 1s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:33:33 +2m 1s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 16/20
[17:33:38 +2m 7s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 17/20
[17:33:48 +2m 17s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:33:48 +2m 17s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 18/20
[17:33:55 +2m 24s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 19/20
[17:34:01 +2m 29s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://www.intel.com/content/www/us/en/search.html (2/133), chunk 20/20
[17:34:09 +2m 37s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:34:09 +2m 37s | intel_content_www_us_en_research_quantum_computing_html] Reading page (4/133): https://newsroom.intel.com/mwc-2026
[17:34:09 +2m 37s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 1/9
[17:34:16 +2m 45s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:34:16 +2m 45s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 2/9
[17:34:23 +2m 51s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:34:23 +2m 51s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 3/9
[17:34:30 +2m 59s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 4/9
[17:34:40 +3m 8s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:34:40 +3m 8s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 5/9
[17:34:48 +3m 17s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 6/9
[17:34:55 +3m 24s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:34:55 +3m 24s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 7/9
[17:35:01 +3m 30s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 8/9
[17:35:08 +3m 37s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com/mwc-2026 (4/133), chunk 9/9
[17:35:13 +3m 42s | intel_content_www_us_en_research_quantum_computing_html] Reading page (9/133): https://newsroom.intel.com
[17:35:13 +3m 42s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 1/23
[17:35:22 +3m 51s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:35:22 +3m 51s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 2/23
[17:35:32 +4m 1s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:35:32 +4m 1s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 3/23
[17:35:36 +4m 5s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 4/23
[17:35:45 +4m 14s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:35:45 +4m 14s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 5/23
[17:35:51 +4m 20s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 6/23
[17:36:01 +4m 30s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:36:01 +4m 30s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 7/23
[17:36:10 +4m 39s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:36:10 +4m 39s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 8/23
[17:36:20 +4m 49s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:36:20 +4m 49s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 9/23
[17:36:27 +4m 56s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:36:27 +4m 56s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 10/23
[17:36:35 +5m 3s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:36:35 +5m 3s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 11/23
[17:36:44 +5m 13s | intel_content_www_us_en_research_quantum_computing_html] Repaired malformed JSON.
[17:36:44 +5m 13s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 12/23
[17:36:51 +5m 20s | intel_content_www_us_en_research_quantum_computing_html] Extracting: https://newsroom.intel.com (9/133), chunk 13/23
