
========================================================================
RUN STARTED  2026-06-17 16:39:14
site_pipeline.py https://universalquantum.com/
========================================================================

[16:39:14 +0s | universalquantum] === 0 crawl site ===
[16:39:18 +4s | universalquantum] [INIT].... → Crawl4AI 0.8.6 
[16:39:20 +7s | universalquantum] [FETCH]... ↓ https://universalquantum.com/                                                                        | ✓ | ⏱: 2.34s 
[16:39:49 +35s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/voices-of-uq/beyond-good-intentions                                     | ✓ | ⏱: 0.01s 
[16:39:49 +35s | universalquantum] [COMPLETE] ● https://universalquantum.com/voices-of-uq/beyond-good-intentions                                     | ✓ | ⏱: 19.67s 
[16:39:49 +36s | universalquantum] [FETCH]... ↓ https://universalquantum.com/voices-of-uq/a-quantum-climb                                            | ✓ | ⏱: 20.10s 
[16:39:50 +36s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/voices-of-uq/a-quantum-climb                                            | ✓ | ⏱: 0.01s 
[16:39:50 +36s | universalquantum] [COMPLETE] ● https://universalquantum.com/voices-of-uq/a-quantum-climb                                            | ✓ | ⏱: 20.12s 
[16:39:50 +36s | universalquantum] [FETCH]... ↓ https://universalquantum.com/voices-of-uq/beyond-the-code-cathy-journey-into-the-unknown             | ✓ | ⏱: 19.94s 
[16:39:50 +36s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/voices-of-uq/beyond-the-code-cathy-journey-into-the-unknown             | ✓ | ⏱: 0.01s 
[16:39:50 +36s | universalquantum] [COMPLETE] ● https://universalquantum.com/voices-of-uq/beyond-the-code-cathy-journey-into-the-unknown             | ✓ | ⏱: 19.95s 
[16:39:50 +37s | universalquantum] [FETCH]... ↓ https://universalquantum.com/voices-of-uq/from-stage-dreams-to-quantum-breakthroughs                 | ✓ | ⏱: 20.05s 
[16:39:51 +37s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/voices-of-uq/from-stage-dreams-to-quantum-breakthroughs                 | ✓ | ⏱: 0.01s 
[16:39:51 +37s | universalquantum] [COMPLETE] ● https://universalquantum.com/voices-of-uq/from-stage-dreams-to-quantum-breakthroughs                 | ✓ | ⏱: 20.08s 
[16:39:51 +37s | universalquantum] Saved: crawl_output/7ee66abf9e_universalquantum.com.json
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com
[16:39:51 +37s | universalquantum] Saved: crawl_output/7794c7bec9_universalquantum.com_knowledge-hub_podcast_the-wiring-problem-in-large-scale-quantum-computers.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/32e52d17fc_universalquantum.com_knowledge-hub_podcast_%C2%A32B-and-what-actually-matters.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/453ea04c7a_universalquantum.com_what-we-do.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/b63b47a598_universalquantum.com_de.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/022356918d_universalquantum.com_knowledge-hub_technical-resources.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/4f0fc9c74b_universalquantum.com_knowledge-hub_podcast_the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/a6d433d9b4_universalquantum.com_knowledge-hub_news-blog.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/3b6ca6a6c3_universalquantum.com_knowledge-hub.json
[16:39:51 +37s | universalquantum] Skipped: https://universalquantum.com/privacy-policy
[16:39:51 +37s | universalquantum] Saved: crawl_output/43da4ada2e_universalquantum.com_knowledge-hub_universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/1799f75f06_universalquantum.com_contact-us.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/a62a61c7aa_universalquantum.com_working-here.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/2e54085ea5_universalquantum.com_who-we-are.json
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Saved: crawl_output/f6b9a73f4d_universalquantum.com_de_wer-wir-sind.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/e3ca92ac82_universalquantum.com_de_hier-arbeiten.json
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Saved: crawl_output/2e4b3d5c0c_universalquantum.com_de_node_181.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/9beab7b045_universalquantum.com_de_wissenszentrum_technische-ressourcen.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/209ca43b03_universalquantum.com_de_node_13.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/59f39ee422_universalquantum.com_de_wissenszentrum.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/466d72044e_universalquantum.com_de_node_180.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/3ef67167c4_universalquantum.com_de_wissenszentrum_neuigkeiten-und-blog.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/423d4334fa_universalquantum.com_knowledge-hub_universal-quantum-selected-for-tech-nation-fifty-2026.json
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Saved: crawl_output/9ea63a7b1b_universalquantum.com_sites_default_files_2025-02_1_16.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/6d5e83f058_universalquantum.com_sites_default_files_2025-02_2_11.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/29859b4764_universalquantum.com_sites_default_files_2025-02_1_14.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/2b2af160d7_universalquantum.com_sites_default_files_2025-02_1_17.pdf.json
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Saved: crawl_output/301cea66bf_universalquantum.com_sites_default_files_2025-02_3_4.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/12278e5a54_universalquantum.com_sites_default_files_2025-02_3_5.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/81c6ef0cb5_universalquantum.com_sites_default_files_2025-02_2_8.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/56a9f219a9_universalquantum.com_sites_default_files_2025-02_2_14.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/3ca59ff277_universalquantum.com_sites_default_files_2025-02_2_13.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/d7498beef0_universalquantum.com_sites_default_files_2025-02_2_12.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/71bb433402_universalquantum.com_sites_default_files_2025-02_2_10.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/58898285f9_universalquantum.com_sites_default_files_2025-02_4_3.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/ab2000e205_universalquantum.com_sites_default_files_2025-07_Modularity%20Report_0.pdf.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/6554525d39_universalquantum.com_voices-of-uq_everything-is-quantum.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/7c68ea5887_universalquantum.com_de_node_178.json
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub/news-blog
[16:39:51 +37s | universalquantum] Saved: crawl_output/1a42a53b5a_universalquantum.com_de_was-wir-tun.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/9d33a525d2_universalquantum.com_knowledge-hub_development-of-a-scalable-user-friendly-quantum-processor-with-ion-trap-technology-for-dlr-qci.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/107ee2385f_universalquantum.com_de_kontaktieren-sie-uns.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/647c01d7b0_universalquantum.com_de_node_179.json
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Duplicate skipped: https://universalquantum.com/knowledge-hub
[16:39:51 +37s | universalquantum] Saved: crawl_output/b27c0b8e71_universalquantum.com_voices-of-uq_beyond-good-intentions.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/9fc113d7ae_universalquantum.com_voices-of-uq_a-quantum-climb.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/80c2587760_universalquantum.com_voices-of-uq_beyond-the-code-cathy-journey-into-the-unknown.json
[16:39:51 +37s | universalquantum] Saved: crawl_output/9de620e423_universalquantum.com_voices-of-uq_from-stage-dreams-to-quantum-breakthroughs.json

[16:39:51 +37s | universalquantum] === 1 actor extraction ===
[16:39:51 +38s | universalquantum] Reading page (1/45): https://universalquantum.com/knowledge-hub/technical-resources
[16:39:51 +38s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/technical-resources (1/45), chunk 1/6
[16:39:56 +42s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/technical-resources (1/45), chunk 2/6
[16:40:04 +51s | universalquantum] Repaired malformed JSON.
[16:40:04 +51s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/technical-resources (1/45), chunk 3/6
[16:40:09 +55s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/technical-resources (1/45), chunk 4/6
[16:40:12 +59s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/technical-resources (1/45), chunk 5/6
[16:40:19 +1m 5s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/technical-resources (1/45), chunk 6/6
[16:40:23 +1m 9s | universalquantum] Reading page (2/45): https://universalquantum.com/de/kontaktieren-sie-uns
[16:40:23 +1m 9s | universalquantum] Extracting: https://universalquantum.com/de/kontaktieren-sie-uns (2/45), chunk 1/1
[16:40:29 +1m 16s | universalquantum] Reading page (4/45): https://universalquantum.com/contact-us
[16:40:29 +1m 16s | universalquantum] Extracting: https://universalquantum.com/contact-us (4/45), chunk 1/2
[16:40:38 +1m 24s | universalquantum] Repaired malformed JSON.
[16:40:38 +1m 24s | universalquantum] Extracting: https://universalquantum.com/contact-us (4/45), chunk 2/2
[16:40:45 +1m 31s | universalquantum] Repaired malformed JSON.
[16:40:45 +1m 31s | universalquantum] Reading page (5/45): https://universalquantum.com/de/was-wir-tun
[16:40:45 +1m 31s | universalquantum] Extracting: https://universalquantum.com/de/was-wir-tun (5/45), chunk 1/1
[16:40:46 +1m 33s | universalquantum] Reading page (6/45): https://universalquantum.com/de/node/13
[16:40:46 +1m 33s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 1/23
[16:40:48 +1m 34s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 2/23
[16:40:52 +1m 38s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 3/23
[16:40:58 +1m 44s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 4/23
[16:41:04 +1m 50s | universalquantum] Repaired malformed JSON.
[16:41:04 +1m 50s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 5/23
[16:41:14 +2m 0s | universalquantum] Repaired malformed JSON.
[16:41:14 +2m 0s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 6/23
[16:41:22 +2m 8s | universalquantum] Repaired malformed JSON.
[16:41:22 +2m 8s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 7/23
[16:41:27 +2m 13s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 8/23
[16:41:35 +2m 21s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 9/23
[16:41:42 +2m 28s | universalquantum] Repaired malformed JSON.
[16:41:42 +2m 28s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 10/23
[16:41:47 +2m 33s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 11/23
[16:41:53 +2m 40s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 12/23
[16:41:57 +2m 44s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 13/23
[16:42:07 +2m 53s | universalquantum] Repaired malformed JSON.
[16:42:07 +2m 53s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 14/23
[16:42:14 +3m 1s | universalquantum] Repaired malformed JSON.
[16:42:14 +3m 1s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 15/23
[16:42:23 +3m 9s | universalquantum] Repaired malformed JSON.
[16:42:23 +3m 9s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 16/23
[16:42:30 +3m 16s | universalquantum] Repaired malformed JSON.
[16:42:30 +3m 16s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 17/23
[16:42:35 +3m 22s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 18/23
[16:42:43 +3m 29s | universalquantum] Repaired malformed JSON.
[16:42:43 +3m 29s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 19/23
[16:42:52 +3m 39s | universalquantum] Repaired malformed JSON.
[16:42:52 +3m 39s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 20/23
[16:43:01 +3m 47s | universalquantum] Repaired malformed JSON.
[16:43:01 +3m 47s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 21/23
[16:43:10 +3m 56s | universalquantum] Repaired malformed JSON.
[16:43:10 +3m 56s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 22/23
[16:43:16 +4m 2s | universalquantum] Extracting: https://universalquantum.com/de/node/13 (6/45), chunk 23/23
[16:43:22 +4m 8s | universalquantum] Reading page (9/45): https://universalquantum.com/de/node/181
[16:43:22 +4m 8s | universalquantum] Extracting: https://universalquantum.com/de/node/181 (9/45), chunk 1/6
[16:43:26 +4m 13s | universalquantum] Extracting: https://universalquantum.com/de/node/181 (9/45), chunk 2/6
[16:43:35 +4m 22s | universalquantum] Repaired malformed JSON.
[16:43:35 +4m 22s | universalquantum] Extracting: https://universalquantum.com/de/node/181 (9/45), chunk 3/6
[16:43:44 +4m 30s | universalquantum] Repaired malformed JSON.
[16:43:44 +4m 30s | universalquantum] Extracting: https://universalquantum.com/de/node/181 (9/45), chunk 4/6
[16:43:51 +4m 38s | universalquantum] Repaired malformed JSON.
[16:43:51 +4m 38s | universalquantum] Extracting: https://universalquantum.com/de/node/181 (9/45), chunk 5/6
[16:44:00 +4m 46s | universalquantum] Repaired malformed JSON.
[16:44:00 +4m 46s | universalquantum] Extracting: https://universalquantum.com/de/node/181 (9/45), chunk 6/6
[16:44:05 +4m 51s | universalquantum] Reading page (10/45): https://universalquantum.com/who-we-are
[16:44:05 +4m 51s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 1/10
[16:44:09 +4m 56s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 2/10
[16:44:18 +5m 5s | universalquantum] Repaired malformed JSON.
[16:44:18 +5m 5s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 3/10
[16:44:25 +5m 11s | universalquantum] Repaired malformed JSON.
[16:44:25 +5m 11s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 4/10
[16:44:32 +5m 19s | universalquantum] Repaired malformed JSON.
[16:44:32 +5m 19s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 5/10
[16:44:39 +5m 25s | universalquantum] Repaired malformed JSON.
[16:44:39 +5m 25s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 6/10
[16:44:47 +5m 34s | universalquantum] Repaired malformed JSON.
[16:44:47 +5m 34s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 7/10
[16:44:54 +5m 40s | universalquantum] Repaired malformed JSON.
[16:44:54 +5m 40s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 8/10
[16:45:01 +5m 48s | universalquantum] Repaired malformed JSON.
[16:45:01 +5m 48s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 9/10
[16:50:02 +10m 49s | universalquantum] Model call failed for https://universalquantum.com/who-we-are chunk 9: 
[16:50:02 +10m 49s | universalquantum] Extracting: https://universalquantum.com/who-we-are (10/45), chunk 10/10
[16:50:04 +10m 51s | universalquantum] Reading page (12/45): https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters
[16:50:04 +10m 51s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 1/6
[16:50:06 +10m 52s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 2/6
[16:50:15 +11m 1s | universalquantum] Repaired malformed JSON.
[16:50:15 +11m 1s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 3/6
[16:50:24 +11m 10s | universalquantum] Repaired malformed JSON.
[16:50:24 +11m 10s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 4/6
[16:50:31 +11m 17s | universalquantum] Repaired malformed JSON.
[16:50:31 +11m 17s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 5/6
[16:50:39 +11m 25s | universalquantum] Repaired malformed JSON.
[16:50:39 +11m 25s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/%C2%A32B-and-what-actually-matters (12/45), chunk 6/6
[16:50:43 +11m 29s | universalquantum] Reading page (13/45): https://universalquantum.com/knowledge-hub
[16:50:43 +11m 29s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub (13/45), chunk 1/6
[16:50:46 +11m 33s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub (13/45), chunk 2/6
[16:50:52 +11m 39s | universalquantum] Repaired malformed JSON.
[16:50:52 +11m 39s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub (13/45), chunk 3/6
[16:50:59 +11m 46s | universalquantum] Repaired malformed JSON.
[16:50:59 +11m 46s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub (13/45), chunk 4/6
[16:51:06 +11m 52s | universalquantum] Repaired malformed JSON.
[16:51:06 +11m 52s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub (13/45), chunk 5/6
[16:51:12 +11m 58s | universalquantum] Repaired malformed JSON.
[16:51:12 +11m 58s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub (13/45), chunk 6/6
[16:51:17 +12m 3s | universalquantum] Reading page (15/45): https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog
[16:51:17 +12m 3s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 1/7
[16:51:22 +12m 9s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 2/7
[16:51:32 +12m 18s | universalquantum] Repaired malformed JSON.
[16:51:32 +12m 18s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 3/7
[16:51:40 +12m 26s | universalquantum] Repaired malformed JSON.
[16:51:40 +12m 26s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 4/7
[16:51:51 +12m 38s | universalquantum] Repaired malformed JSON.
[16:51:51 +12m 38s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 5/7
[16:51:59 +12m 45s | universalquantum] Repaired malformed JSON.
[16:51:59 +12m 45s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 6/7
[16:52:07 +12m 53s | universalquantum] Repaired malformed JSON.
[16:52:07 +12m 53s | universalquantum] Extracting: https://universalquantum.com/de/wissenszentrum/neuigkeiten-und-blog (15/45), chunk 7/7
[16:52:11 +12m 58s | universalquantum] Reading page (16/45): https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026
[16:52:11 +12m 58s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 1/7
[16:52:20 +13m 6s | universalquantum] Repaired malformed JSON.
[16:52:20 +13m 6s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 2/7
[16:52:25 +13m 11s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 3/7
[16:52:33 +13m 20s | universalquantum] Repaired malformed JSON.
[16:52:33 +13m 20s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 4/7
[16:52:42 +13m 28s | universalquantum] Repaired malformed JSON.
[16:52:42 +13m 28s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 5/7
[16:52:51 +13m 37s | universalquantum] Repaired malformed JSON.
[16:52:51 +13m 37s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 6/7
[16:53:00 +13m 46s | universalquantum] Repaired malformed JSON.
[16:53:00 +13m 46s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-selected-for-tech-nation-fifty-2026 (16/45), chunk 7/7
[16:53:07 +13m 54s | universalquantum] Repaired malformed JSON.
[16:53:07 +13m 54s | universalquantum] Reading page (17/45): https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor
[16:53:07 +13m 54s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 1/8
[16:53:13 +13m 59s | universalquantum] Repaired malformed JSON.
[16:53:13 +13m 59s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 2/8
[16:53:23 +14m 9s | universalquantum] Repaired malformed JSON.
[16:53:23 +14m 9s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 3/8
[16:53:30 +14m 16s | universalquantum] Repaired malformed JSON.
[16:53:30 +14m 16s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 4/8
[16:53:37 +14m 23s | universalquantum] Repaired malformed JSON.
[16:53:37 +14m 23s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 5/8
[16:53:43 +14m 29s | universalquantum] Repaired malformed JSON.
[16:53:43 +14m 29s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 6/8
[16:53:51 +14m 37s | universalquantum] Repaired malformed JSON.
[16:53:51 +14m 37s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 7/8
[16:53:58 +14m 44s | universalquantum] Repaired malformed JSON.
[16:53:58 +14m 44s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/universal-quantum-appoints-Freeke-Heijman-as-senior-european-advisor (17/45), chunk 8/8
[16:54:02 +14m 48s | universalquantum] Reading page (18/45): https://universalquantum.com/what-we-do
[16:54:02 +14m 48s | universalquantum] Extracting: https://universalquantum.com/what-we-do (18/45), chunk 1/5
[16:54:06 +14m 53s | universalquantum] Extracting: https://universalquantum.com/what-we-do (18/45), chunk 2/5
[16:54:11 +14m 57s | universalquantum] Extracting: https://universalquantum.com/what-we-do (18/45), chunk 3/5
[16:54:15 +15m 2s | universalquantum] Extracting: https://universalquantum.com/what-we-do (18/45), chunk 4/5
[16:54:22 +15m 8s | universalquantum] Repaired malformed JSON.
[16:54:22 +15m 8s | universalquantum] Extracting: https://universalquantum.com/what-we-do (18/45), chunk 5/5
[16:54:25 +15m 12s | universalquantum] Reading page (19/45): https://universalquantum.com/de/node/180
[16:54:25 +15m 12s | universalquantum] Extracting: https://universalquantum.com/de/node/180 (19/45), chunk 1/8
[16:54:30 +15m 16s | universalquantum] Extracting: https://universalquantum.com/de/node/180 (19/45), chunk 2/8
[16:54:35 +15m 22s | universalquantum] Repaired malformed JSON.
[16:54:35 +15m 22s | universalquantum] Extracting: https://universalquantum.com/de/node/180 (19/45), chunk 3/8
[16:54:44 +15m 31s | universalquantum] Repaired malformed JSON.
[16:54:44 +15m 31s | universalquantum] Extracting: https://universalquantum.com/de/node/180 (19/45), chunk 4/8
[16:54:51 +15m 38s | universalquantum] Repaired malformed JSON.
[16:54:51 +15m 38s | universalquantum] Extracting: https://universalquantum.com/de/node/180 (19/45), chunk 5/8
[16:55:01 +15m 48s | universalquantum] Repaired malformed JSON.
[16:55:01 +15m 48s | universalquantum] Extracting: https://universalquantum.com/de/node/180 (19/45), chunk 6/8
[16:55:09 +15m 56s | universalquantum] Repaired malformed JSON.
[16:55:09 +15m 56s | universalquantum] Extracting: https://universalquantum.com/de/node/180 (19/45), chunk 7/8
[16:55:16 +16m 3s | universalquantum] Repaired malformed JSON.
[16:55:16 +16m 3s | universalquantum] Extracting: https://universalquantum.com/de/node/180 (19/45), chunk 8/8
[16:55:20 +16m 6s | universalquantum] Reading page (20/45): https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg
[16:55:20 +16m 6s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 1/6
[16:55:27 +16m 13s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 2/6
[16:55:34 +16m 21s | universalquantum] Repaired malformed JSON.
[16:55:34 +16m 21s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 3/6
[16:55:40 +16m 27s | universalquantum] Repaired malformed JSON.
[16:55:40 +16m 27s | universalquantum] Extracting: https://universalquantum.com/knowledge-hub/podcast/the-quantum-rivalry-of-schr%C3%B6dinger-and-eisenberg (20/45), chunk 4/6
[16:55:49 +16m 35s | universalquantum] Repaired malformed JSON.
