
========================================================================
RUN STARTED  2026-06-17 01:15:44
site_pipeline.py https://eleqtron.com/
========================================================================

[01:15:44 +0s | eleqtron] === 0 crawl site ===
[01:15:49 +2s | eleqtron] [INIT].... → Crawl4AI 0.8.6 
[01:15:52 +5s | eleqtron] [FETCH]... ↓ https://eleqtron.com/                                                                                | ✓ | ⏱: 2.49s 
[01:16:11 +24s | eleqtron] Saved: crawl_output/8ecfa44ef1_eleqtron.com_produkt.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/e753d15017_eleqtron.com_unternehmen.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/b21c6eb5bd_eleqtron.com_prof-dr-christof-wunderlich-scheidet-aus-operativem-geschaeft-aus.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/e3007aa4d9_eleqtron.com_eleqtron-gestaltet-mit-der-fullstaqd-initiative-diesoftware-zukunft-des-quantencomputings-made-ingermany.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/7fa30f9249_eleqtron.com_impressum.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/8e998eaed3_eleqtron.com_kontakt.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/247ff976fa_eleqtron.com_presse.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/247b720bb3_eleqtron.com_karriere.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/8158c897ca_eleqtron.com_en.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/e14970b728_eleqtron.com_events.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/296e45a46a_eleqtron.com_deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen.json
[01:16:11 +24s | eleqtron] Skipped: https://eleqtron.com/en/privacy-policy
[01:16:11 +24s | eleqtron] Saved: crawl_output/9d1ffff768_eleqtron.com_en_events.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/9900dbac39_eleqtron.com_event_spring-school-2026.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/d6bb412804_eleqtron.com_en_eleqtron-is-shaping-the-software-future-of-quantum-computing-made-ingermany-with-fullstaqd-initiative.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/5838fb3ab1_eleqtron.com_en_press.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/1ae4b7bd9a_eleqtron.com_event_dpg-spring-meeting-2026.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/e2a9ab4ca8_eleqtron.com_eleqtron-als-technology-pioneer-2025-vom-weltwirtschaftsforum-ausgezeichnet.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/63628d5e04_eleqtron.com_deutscher-hoffnungstrager-in-der-entwicklung-und-bereitstellung-von-quantencomputern.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/8e4383cfbd_eleqtron.com_en_company.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/a0f61dd59a_eleqtron.com_event_vivatech-2026.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/2ce996f96c_eleqtron.com_en_career.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/00b9667b16_eleqtron.com_en_imprint.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/7be7a093ff_eleqtron.com_en_contact.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/0f1692bede_eleqtron.com_en_product.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/23a1603ba0_eleqtron.com_event_use-cases-workshop-2025.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/d683808104_eleqtron.com_en_prof-dr-christof-wunderlich-transitions-out-of-executive-operations.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/272c066841_eleqtron.com_wp-content_uploads_2025_06_jan-henrik-leisse-deu.pdf.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/2a550a232e_eleqtron.com_en_quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/bccd377c71_eleqtron.com_event_ein-past-event.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/6a262cd9a4_eleqtron.com_event_ionhack-2026-quantum-hackathon.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/dd45bc5e4f_eleqtron.com_wp-content_uploads_2025_06_michael-johanning-deu.pdf.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/bfa3d04de2_eleqtron.com_wp-content_uploads_2025_05_20220816-sp-eleqtron-0235-scaled-1.jpg.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/3cc5536a5a_eleqtron.com_wp-content_uploads_2025_07_eleQtron-pm-20250703-wunderlich-de.pdf.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/fee7dd736b_eleqtron.com_wp-content_uploads_2025_05_20220816-sp-eleqtron-0328-scaled-1.jpg.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/4abeb54039_eleqtron.com_wp-content_uploads_2025_12_eleQtron-Pressemitteilung-FullstaQD-2512-DE.pdf.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/2f16f1bbc6_staging.eleqtron.com_wp-content_uploads_2024_03_eleQtron-press-factsheet-240321-de.pdf.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/323deef05b_eleqtron.com_forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/c56c368026_eleqtron.com_jobs_hf-high-frequency-lab-engineer-m-w-d.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/4ba241fac5_eleqtron.com_jobs_junior-optics-and-laser-engineer-m-w-d.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/d32f8bc143_eleqtron.com_jobs_hr-operations-manager-m-w-d.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/923396fa49_eleqtron.com_jobs_fpga-engineer-quantum-computing-m-w-d.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/cb4e41bed1_eleqtron.com_wp-content_uploads_2026_05_20260504_Pressemitteilung_eleQtron_SeriesA_DE_final.pdf.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/e1732fb287_eleqtron.com_jobs_intern-quantum-applications-m-w-d.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/7afacf6897_eleqtron.com_jobs_software-engineer-python-control-software-m-w-d.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/79885336fc_eleqtron.com_nxp-eleqtron-und-parityqc-zeigen-ersten-demonstrator-fuer-die-dlr-quantencomputing-initiative.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/b7a62e9bd2_eleqtron.com_jobs_senior-optics-and-laser-engineer-m-w-d.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/18d2178840_eleqtron.com_wp-content_uploads_2026_01_eleqtron-press-Jan-Leisse-CEO-20250821.jpg.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/4b7ff23227_eleqtron.com_wp-content_uploads_2026_01_eleqtron-press-Michael-Johanning-CTO-20250821.jpg.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/3a33e7c5df_eleqtron.com_wp-content_uploads_2026_04_Design-ohne-Titel-11-scaled.jpg.json
[01:16:11 +24s | eleqtron] Saved: crawl_output/56d2ab3f19_eleqtron.com_wp-content_uploads_2026_05_20260430_Pressemitteilung_eleQtron_SeriesA-3.jpg.json

[01:16:12 +25s | eleqtron] === 1 actor extraction ===
[01:16:12 +25s | eleqtron] Reading page (1/53): https://eleqtron.com/en/imprint
[01:16:12 +25s | eleqtron] Extracting: https://eleqtron.com/en/imprint (1/53), chunk 1/4
[01:16:14 +27s | eleqtron] Extracting: https://eleqtron.com/en/imprint (1/53), chunk 2/4
[01:16:19 +32s | eleqtron] Repaired malformed JSON.
[01:16:19 +32s | eleqtron] Extracting: https://eleqtron.com/en/imprint (1/53), chunk 3/4
[01:16:29 +39s | eleqtron] Repaired malformed JSON.
[01:16:29 +39s | eleqtron] Extracting: https://eleqtron.com/en/imprint (1/53), chunk 4/4
[01:16:35 +45s | eleqtron] Repaired malformed JSON.
[01:16:35 +45s | eleqtron] Reading page (2/53): https://eleqtron.com/en/product
[01:16:35 +45s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 1/12
[01:16:40 +50s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 2/12
[01:16:48 +57s | eleqtron] Repaired malformed JSON.
[01:16:48 +57s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 3/12
[01:16:56 +1m 6s | eleqtron] Repaired malformed JSON.
[01:16:56 +1m 6s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 4/12
[01:17:08 +1m 15s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 5/12
[01:17:12 +1m 19s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 6/12
[01:17:16 +1m 22s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 7/12
[01:17:22 +1m 28s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 8/12
[01:17:26 +1m 33s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 9/12
[01:17:30 +1m 36s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 10/12
[01:17:37 +1m 41s | eleqtron] Repaired malformed JSON.
[01:17:37 +1m 41s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 11/12
[01:17:45 +1m 49s | eleqtron] Repaired malformed JSON.
[01:17:45 +1m 49s | eleqtron] Extracting: https://eleqtron.com/en/product (2/53), chunk 12/12
[01:17:54 +1m 58s | eleqtron] Repaired malformed JSON.
[01:17:54 +1m 58s | eleqtron] Reading page (3/53): https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Jan-Leisse-CEO-20250821.jpg
[01:17:54 +1m 58s | eleqtron] Extracting: https://eleqtron.com/wp-content/uploads/2026/01/eleqtron-press-Jan-Leisse-CEO-20250821.jpg (3/53), chunk 1/1
[01:17:59 +2m 3s | eleqtron] Reading page (4/53): https://eleqtron.com/event/dpg-spring-meeting-2026
[01:17:59 +2m 3s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 1/10
[01:18:02 +2m 6s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 2/10
[01:18:13 +2m 13s | eleqtron] Repaired malformed JSON.
[01:18:13 +2m 13s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 3/10
[01:18:21 +2m 22s | eleqtron] Repaired malformed JSON.
[01:18:21 +2m 22s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 4/10
[01:18:27 +2m 28s | eleqtron] Repaired malformed JSON.
[01:18:27 +2m 28s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 5/10
[01:18:35 +2m 36s | eleqtron] Repaired malformed JSON.
[01:18:35 +2m 36s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 6/10
[01:18:41 +2m 42s | eleqtron] Repaired malformed JSON.
[01:18:41 +2m 42s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 7/10
[01:18:50 +2m 48s | eleqtron] Repaired malformed JSON.
[01:18:50 +2m 48s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 8/10
[01:18:53 +2m 52s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 9/10
[01:19:02 +3m 1s | eleqtron] Repaired malformed JSON.
[01:19:02 +3m 1s | eleqtron] Extracting: https://eleqtron.com/event/dpg-spring-meeting-2026 (4/53), chunk 10/10
[01:19:07 +3m 5s | eleqtron] Reading page (5/53): https://eleqtron.com/event/use-cases-workshop-2025
[01:19:07 +3m 5s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 1/10
[01:19:08 +3m 7s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 2/10
[01:19:14 +3m 12s | eleqtron] Repaired malformed JSON.
[01:19:14 +3m 12s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 3/10
[01:19:24 +3m 23s | eleqtron] Repaired malformed JSON.
[01:19:24 +3m 23s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 4/10
[01:19:31 +3m 29s | eleqtron] Repaired malformed JSON.
[01:19:31 +3m 29s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 5/10
[01:19:38 +3m 33s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 6/10
[01:19:45 +3m 41s | eleqtron] Repaired malformed JSON.
[01:19:45 +3m 41s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 7/10
[01:19:51 +3m 46s | eleqtron] Repaired malformed JSON.
[01:19:51 +3m 46s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 8/10
[01:19:58 +3m 54s | eleqtron] Repaired malformed JSON.
[01:19:58 +3m 54s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 9/10
[01:20:02 +3m 57s | eleqtron] Extracting: https://eleqtron.com/event/use-cases-workshop-2025 (5/53), chunk 10/10
[01:20:05 +4m 1s | eleqtron] Reading page (6/53): https://eleqtron.com/karriere
[01:20:05 +4m 1s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 1/13
[01:20:08 +4m 3s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 2/13
[01:20:15 +4m 10s | eleqtron] Repaired malformed JSON.
[01:20:15 +4m 10s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 3/13
[01:20:22 +4m 17s | eleqtron] Repaired malformed JSON.
[01:20:22 +4m 17s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 4/13
[01:20:28 +4m 24s | eleqtron] Repaired malformed JSON.
[01:20:28 +4m 24s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 5/13
[01:20:35 +4m 30s | eleqtron] Repaired malformed JSON.
[01:20:35 +4m 30s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 6/13
[01:20:44 +4m 38s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 7/13
[01:20:52 +4m 45s | eleqtron] Repaired malformed JSON.
[01:20:52 +4m 45s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 8/13
[01:21:01 +4m 54s | eleqtron] Repaired malformed JSON.
[01:21:01 +4m 54s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 9/13
[01:21:06 +4m 59s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 10/13
[01:21:09 +5m 3s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 11/13
[01:21:17 +5m 8s | eleqtron] Repaired malformed JSON.
[01:21:17 +5m 8s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 12/13
[01:21:25 +5m 16s | eleqtron] Repaired malformed JSON.
[01:21:25 +5m 16s | eleqtron] Extracting: https://eleqtron.com/karriere (6/53), chunk 13/13
[01:21:30 +5m 21s | eleqtron] Repaired malformed JSON.
[01:21:30 +5m 21s | eleqtron] Reading page (7/53): https://eleqtron.com/presse
[01:21:30 +5m 21s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 1/14
[01:21:32 +5m 23s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 2/14
[01:21:38 +5m 29s | eleqtron] Repaired malformed JSON.
[01:21:38 +5m 29s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 3/14
[01:21:43 +5m 34s | eleqtron] Repaired malformed JSON.
[01:21:43 +5m 34s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 4/14
[01:21:53 +5m 41s | eleqtron] Repaired malformed JSON.
[01:21:53 +5m 41s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 5/14
[01:21:59 +5m 48s | eleqtron] Repaired malformed JSON.
[01:21:59 +5m 48s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 6/14
[01:22:05 +5m 54s | eleqtron] Repaired malformed JSON.
[01:22:05 +5m 54s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 7/14
[01:22:12 +6m 1s | eleqtron] Repaired malformed JSON.
[01:22:12 +6m 1s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 8/14
[01:22:17 +6m 6s | eleqtron] Repaired malformed JSON.
[01:22:17 +6m 6s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 9/14
[01:22:29 +6m 16s | eleqtron] Repaired malformed JSON.
[01:22:29 +6m 16s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 10/14
[01:22:36 +6m 22s | eleqtron] Repaired malformed JSON.
[01:22:36 +6m 22s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 11/14
[01:22:45 +6m 31s | eleqtron] Repaired malformed JSON.
[01:22:45 +6m 31s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 12/14
[01:22:49 +6m 35s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 13/14
[01:22:54 +6m 40s | eleqtron] Extracting: https://eleqtron.com/presse (7/53), chunk 14/14
[01:22:56 +6m 42s | eleqtron] Reading page (9/53): https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen
[01:22:56 +6m 42s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 1/9
[01:23:03 +6m 47s | eleqtron] Repaired malformed JSON.
[01:23:03 +6m 47s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 2/9
[01:23:11 +6m 55s | eleqtron] Repaired malformed JSON.
[01:23:11 +6m 55s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 3/9
[01:23:19 +7m 3s | eleqtron] Repaired malformed JSON.
[01:23:19 +7m 3s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 4/9
[01:23:25 +7m 9s | eleqtron] Repaired malformed JSON.
[01:23:25 +7m 9s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 5/9
[01:23:32 +7m 16s | eleqtron] Repaired malformed JSON.
[01:23:32 +7m 16s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 6/9
[01:23:41 +7m 23s | eleqtron] Repaired malformed JSON.
[01:23:41 +7m 23s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 7/9
[01:23:47 +7m 29s | eleqtron] Repaired malformed JSON.
[01:23:47 +7m 29s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 8/9
[01:23:53 +7m 35s | eleqtron] Repaired malformed JSON.
[01:23:53 +7m 35s | eleqtron] Extracting: https://eleqtron.com/deeptech-startup-eleqtron-begruesst-vizekanzler-und-bundeswirtschaftsminister-robert-habeck-in-siegen (9/53), chunk 9/9
[01:24:01 +7m 42s | eleqtron] Repaired malformed JSON.
[01:24:01 +7m 42s | eleqtron] Reading page (10/53): https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide
[01:24:01 +7m 42s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 1/12
[01:24:06 +7m 48s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 2/12
[01:24:16 +7m 55s | eleqtron] Repaired malformed JSON.
[01:24:16 +7m 55s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 3/12
[01:24:24 +8m 3s | eleqtron] Repaired malformed JSON.
[01:24:24 +8m 3s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 4/12
[01:24:32 +8m 11s | eleqtron] Repaired malformed JSON.
[01:24:32 +8m 11s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 5/12
[01:24:39 +8m 18s | eleqtron] Repaired malformed JSON.
[01:24:39 +8m 18s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 6/12
[01:24:46 +8m 23s | eleqtron] Repaired malformed JSON.
[01:24:46 +8m 23s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 7/12
[01:24:54 +8m 31s | eleqtron] Repaired malformed JSON.
[01:24:54 +8m 31s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 8/12
[01:25:00 +8m 36s | eleqtron] Repaired malformed JSON.
[01:25:00 +8m 36s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 9/12
[01:25:05 +8m 42s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 10/12
[01:25:10 +8m 46s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 11/12
[01:25:13 +8m 50s | eleqtron] Extracting: https://eleqtron.com/en/quantum-computing-scale-up-eleqtron-secures-57-million-in-one-of-the-largest-series-a-funding-rounds-worldwide (10/53), chunk 12/12
[01:25:23 +8m 57s | eleqtron] Repaired malformed JSON.
[01:25:23 +8m 57s | eleqtron] Reading page (11/53): https://eleqtron.com/en/career
[01:25:23 +8m 57s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 1/10
[01:25:24 +8m 59s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 2/10
[01:25:31 +9m 5s | eleqtron] Repaired malformed JSON.
[01:25:31 +9m 5s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 3/10
[01:25:39 +9m 13s | eleqtron] Repaired malformed JSON.
[01:25:39 +9m 13s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 4/10
[01:25:43 +9m 18s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 5/10
[01:25:50 +9m 25s | eleqtron] Repaired malformed JSON.
[01:25:50 +9m 25s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 6/10
[01:25:59 +9m 31s | eleqtron] Repaired malformed JSON.
[01:25:59 +9m 31s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 7/10
[01:26:05 +9m 37s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 8/10
[01:26:13 +9m 45s | eleqtron] Repaired malformed JSON.
[01:26:13 +9m 45s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 9/10
[01:26:16 +9m 48s | eleqtron] Extracting: https://eleqtron.com/en/career (11/53), chunk 10/10
[01:26:24 +9m 56s | eleqtron] Repaired malformed JSON.
[01:26:24 +9m 56s | eleqtron] Reading page (13/53): https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw
[01:26:24 +9m 56s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 1/14
[01:26:33 +10m 3s | eleqtron] Repaired malformed JSON.
[01:26:33 +10m 3s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 2/14
[01:26:39 +10m 9s | eleqtron] Repaired malformed JSON.
[01:26:39 +10m 9s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 3/14
[01:26:45 +10m 15s | eleqtron] Repaired malformed JSON.
[01:26:45 +10m 15s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 4/14
[01:26:55 +10m 24s | eleqtron] Repaired malformed JSON.
[01:26:55 +10m 24s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 5/14
[01:27:05 +10m 33s | eleqtron] Repaired malformed JSON.
[01:27:05 +10m 33s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 6/14
[01:27:13 +10m 41s | eleqtron] Repaired malformed JSON.
[01:27:13 +10m 41s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 7/14
[01:27:20 +10m 48s | eleqtron] Repaired malformed JSON.
[01:27:20 +10m 48s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 8/14
[01:27:26 +10m 54s | eleqtron] Repaired malformed JSON.
[01:27:26 +10m 54s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 9/14
[01:27:32 +10m 59s | eleqtron] Repaired malformed JSON.
[01:27:32 +10m 59s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 10/14
[01:27:40 +11m 5s | eleqtron] Repaired malformed JSON.
[01:27:40 +11m 5s | eleqtron] Extracting: https://eleqtron.com/forschungszentrum-juelich-und-eleqtron-entwickeln-modularen-quanten-supercomputer-made-in-nrw (13/53), chunk 11/14
[01:27:48 +11m 13s | eleqtron] Repaired malformed JSON.
