
========================================================================
RUN STARTED  2026-06-17 04:42:06
site_pipeline.py https://www.proteinqure.com/
========================================================================

[04:42:06 +0s | proteinqure] === 0 crawl site ===
[04:42:08 +2s | proteinqure] [INIT].... → Crawl4AI 0.8.6 
[04:42:09 +3s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/                                                                         | ✓ | ⏱: 1.62s 
[04:44:05 +1m 53s | proteinqure] Extracting: https://www.proteinqure.com/team (1/41), chunk 15/15
[04:44:11 +1m 59s | proteinqure] Repaired malformed JSON.
[04:44:11 +1m 59s | proteinqure] Reading page (2/41): https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates
[04:44:11 +1m 59s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 1/5
[04:44:19 +2m 4s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 2/5
[04:44:25 +2m 11s | proteinqure] Repaired malformed JSON.
[04:44:25 +2m 11s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 3/5
[04:44:35 +2m 20s | proteinqure] Repaired malformed JSON.
[04:44:35 +2m 20s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 4/5
[04:44:43 +2m 28s | proteinqure] Repaired malformed JSON.
[04:44:43 +2m 28s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-reports-broad-brain-distribution-of-peptide-sirna-conjugates-in-non-human-primates (2/41), chunk 5/5
[04:44:50 +2m 35s | proteinqure] Repaired malformed JSON.
[04:44:50 +2m 35s | proteinqure] Reading page (3/41): https://www.proteinqure.com/science
[04:44:50 +2m 35s | proteinqure] Extracting: https://www.proteinqure.com/science (3/41), chunk 1/8
[04:44:58 +2m 40s | proteinqure] Extracting: https://www.proteinqure.com/science (3/41), chunk 2/8
[04:45:05 +2m 48s | proteinqure] Repaired malformed JSON.
[04:45:05 +2m 48s | proteinqure] Extracting: https://www.proteinqure.com/science (3/41), chunk 3/8
[04:45:12 +2m 55s | proteinqure] Repaired malformed JSON.
[04:45:12 +2m 55s | proteinqure] Extracting: https://www.proteinqure.com/science (3/41), chunk 4/8
[04:45:18 +3m 1s | proteinqure] Repaired malformed JSON.
[04:45:18 +3m 1s | proteinqure] Extracting: https://www.proteinqure.com/science (3/41), chunk 5/8
[04:45:28 +3m 9s | proteinqure] Repaired malformed JSON.
[04:45:28 +3m 9s | proteinqure] Extracting: https://www.proteinqure.com/science (3/41), chunk 6/8
[04:45:34 +3m 14s | proteinqure] Repaired malformed JSON.
[04:45:34 +3m 14s | proteinqure] Extracting: https://www.proteinqure.com/science (3/41), chunk 7/8
[04:45:39 +3m 20s | proteinqure] Repaired malformed JSON.
[04:45:39 +3m 20s | proteinqure] Extracting: https://www.proteinqure.com/science (3/41), chunk 8/8
[04:45:46 +3m 26s | proteinqure] Reading page (4/41): https://www.proteinqure.com/category/press-releases
[04:45:46 +3m 26s | proteinqure] Extracting: https://www.proteinqure.com/category/press-releases (4/41), chunk 1/2
[04:45:51 +3m 31s | proteinqure] Repaired malformed JSON.
[04:45:51 +3m 31s | proteinqure] Extracting: https://www.proteinqure.com/category/press-releases (4/41), chunk 2/2
[04:45:56 +3m 36s | proteinqure] Reading page (5/41): https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma
[04:45:56 +3m 36s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 1/6
[04:46:06 +3m 44s | proteinqure] Repaired malformed JSON.
[04:46:06 +3m 44s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 2/6
[04:46:13 +3m 51s | proteinqure] Repaired malformed JSON.
[04:46:13 +3m 51s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 3/6
[04:46:19 +3m 57s | proteinqure] Repaired malformed JSON.
[04:46:19 +3m 57s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 4/6
[04:46:25 +4m 3s | proteinqure] Repaired malformed JSON.
[04:46:25 +4m 3s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 5/6
[04:46:31 +4m 9s | proteinqure] Repaired malformed JSON.
[04:46:31 +4m 9s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-2-5m-genome-canada-award-to-advance-sirna-therapeutics-for-glioblastoma (5/41), chunk 6/6
[04:46:41 +4m 16s | proteinqure] Repaired malformed JSON.
[04:46:41 +4m 16s | proteinqure] Reading page (6/41): https://www.proteinqure.com/pipeline
[04:46:41 +4m 16s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 1/9
[04:46:47 +4m 22s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 2/9
[04:46:52 +4m 28s | proteinqure] Repaired malformed JSON.
[04:46:52 +4m 28s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 3/9
[04:46:58 +4m 34s | proteinqure] Repaired malformed JSON.
[04:46:58 +4m 34s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 4/9
[04:47:04 +4m 39s | proteinqure] Repaired malformed JSON.
[04:47:04 +4m 39s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 5/9
[04:47:14 +4m 46s | proteinqure] Repaired malformed JSON.
[04:47:14 +4m 46s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 6/9
[04:47:22 +4m 54s | proteinqure] Repaired malformed JSON.
[04:47:22 +4m 54s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 7/9
[04:47:28 +5m 1s | proteinqure] Repaired malformed JSON.
[04:47:28 +5m 1s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 8/9
[04:47:34 +5m 7s | proteinqure] Repaired malformed JSON.
[04:47:34 +5m 7s | proteinqure] Extracting: https://www.proteinqure.com/pipeline (6/41), chunk 9/9
[04:47:40 +5m 12s | proteinqure] Repaired malformed JSON.
[04:47:40 +5m 12s | proteinqure] Reading page (7/41): https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery
[04:47:40 +5m 12s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 1/6
[04:47:46 +5m 19s | proteinqure] Repaired malformed JSON.
[04:47:46 +5m 19s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 2/6
[04:47:55 +5m 27s | proteinqure] Repaired malformed JSON.
[04:47:55 +5m 27s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 3/6
[04:48:07 +5m 36s | proteinqure] Repaired malformed JSON.
[04:48:07 +5m 36s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 4/6
[04:48:13 +5m 42s | proteinqure] Repaired malformed JSON.
[04:48:13 +5m 42s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 5/6
[04:48:20 +5m 49s | proteinqure] Repaired malformed JSON.
[04:48:20 +5m 49s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-1-8m-from-feddev-ontario-to-advance-ai-powered-drug-delivery (7/41), chunk 6/6
[04:48:29 +5m 59s | proteinqure] Repaired malformed JSON.
[04:48:29 +5m 59s | proteinqure] Reading page (8/41): http://proteinqure.com
[04:48:29 +5m 59s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 1/10
[04:48:33 +6m 2s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 2/10
[04:48:41 +6m 8s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 3/10
[04:48:46 +6m 13s | proteinqure] Repaired malformed JSON.
[04:48:46 +6m 13s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 4/10
[04:48:53 +6m 19s | proteinqure] Repaired malformed JSON.
[04:48:53 +6m 19s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 5/10
[04:48:58 +6m 25s | proteinqure] Repaired malformed JSON.
[04:48:58 +6m 25s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 6/10
[04:49:03 +6m 30s | proteinqure] Repaired malformed JSON.
[04:49:03 +6m 30s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 7/10
[04:49:13 +6m 37s | proteinqure] Repaired malformed JSON.
[04:49:13 +6m 37s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 8/10
[04:49:21 +6m 45s | proteinqure] Repaired malformed JSON.
[04:49:21 +6m 45s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 9/10
[04:49:26 +6m 50s | proteinqure] Repaired malformed JSON.
[04:49:26 +6m 50s | proteinqure] Extracting: http://proteinqure.com (8/41), chunk 10/10
[04:49:31 +6m 55s | proteinqure] Reading page (9/41): https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation
[04:49:31 +6m 55s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 1/5
[04:49:37 +7m 1s | proteinqure] Repaired malformed JSON.
[04:49:37 +7m 1s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 2/5
[04:49:44 +7m 8s | proteinqure] Repaired malformed JSON.
[04:49:44 +7m 8s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 3/5
[04:49:52 +7m 14s | proteinqure] Repaired malformed JSON.
[04:49:52 +7m 14s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 4/5
[04:49:59 +7m 21s | proteinqure] Repaired malformed JSON.
[04:49:59 +7m 21s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-receives-regulatory-clearance-to-initiate-phase-i-trial-for-pq203-in-the-u-s-and-canada-granted-fda-fast-track-designation (9/41), chunk 5/5
[04:50:06 +7m 28s | proteinqure] Repaired malformed JSON.
[04:50:06 +7m 28s | proteinqure] Reading page (10/41): http://www.proteinqure.com
[04:50:06 +7m 28s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 1/10
[04:50:11 +7m 33s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 2/10
[04:50:19 +7m 41s | proteinqure] Repaired malformed JSON.
[04:50:19 +7m 41s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 3/10
[04:50:28 +7m 47s | proteinqure] Repaired malformed JSON.
[04:50:28 +7m 47s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 4/10
[04:50:33 +7m 52s | proteinqure] Repaired malformed JSON.
[04:50:33 +7m 52s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 5/10
[04:50:40 +7m 58s | proteinqure] Repaired malformed JSON.
[04:50:40 +7m 58s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 6/10
[04:50:49 +8m 8s | proteinqure] Repaired malformed JSON.
[04:50:49 +8m 8s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 7/10
[04:50:58 +8m 14s | proteinqure] Repaired malformed JSON.
[04:50:58 +8m 14s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 8/10
[04:51:04 +8m 20s | proteinqure] Repaired malformed JSON.
[04:51:04 +8m 20s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 9/10
[04:51:09 +8m 25s | proteinqure] Repaired malformed JSON.
[04:51:09 +8m 25s | proteinqure] Extracting: http://www.proteinqure.com (10/41), chunk 10/10
[04:51:15 +8m 31s | proteinqure] Reading page (11/41): https://proteinqure.com/pipeline
[04:51:15 +8m 31s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 1/9
[04:51:21 +8m 37s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 2/9
[04:51:26 +8m 42s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 3/9
[04:51:34 +8m 47s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 4/9
[04:51:40 +8m 54s | proteinqure] Repaired malformed JSON.
[04:51:40 +8m 54s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 5/9
[04:51:45 +8m 59s | proteinqure] Repaired malformed JSON.
[04:51:45 +8m 59s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 6/9
[04:51:54 +9m 7s | proteinqure] Repaired malformed JSON.
[04:51:54 +9m 7s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 7/9
[04:52:02 +9m 15s | proteinqure] Repaired malformed JSON.
[04:52:02 +9m 15s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 8/9
[04:52:12 +9m 22s | proteinqure] Repaired malformed JSON.
[04:52:12 +9m 22s | proteinqure] Extracting: https://proteinqure.com/pipeline (11/41), chunk 9/9
[04:52:20 +9m 30s | proteinqure] Repaired malformed JSON.
[04:52:20 +9m 30s | proteinqure] Reading page (12/41): https://www.proteinqure.com/category/articles
[04:52:20 +9m 30s | proteinqure] Extracting: https://www.proteinqure.com/category/articles (12/41), chunk 1/2
[04:52:29 +9m 39s | proteinqure] Repaired malformed JSON.
[04:52:29 +9m 39s | proteinqure] Extracting: https://www.proteinqure.com/category/articles (12/41), chunk 2/2
[04:52:35 +9m 46s | proteinqure] Reading page (13/41): https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer
[04:52:35 +9m 46s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 1/5
[04:52:44 +9m 52s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 2/5
[04:52:50 +9m 57s | proteinqure] Repaired malformed JSON.
[04:52:50 +9m 57s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 3/5
[04:52:59 +10m 6s | proteinqure] Repaired malformed JSON.
[04:52:59 +10m 6s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 4/5
[04:53:08 +10m 15s | proteinqure] Repaired malformed JSON.
[04:53:08 +10m 15s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-first-patient-dosed-in-phase-i-clinical-trial-of-pq203-in-advanced-metastatic-cancer (13/41), chunk 5/5
[04:53:18 +10m 23s | proteinqure] Repaired malformed JSON.
[04:53:18 +10m 23s | proteinqure] Reading page (15/41): https://www.proteinqure.com/partnering
[04:53:18 +10m 23s | proteinqure] Extracting: https://www.proteinqure.com/partnering (15/41), chunk 1/7
[04:53:24 +10m 28s | proteinqure] Extracting: https://www.proteinqure.com/partnering (15/41), chunk 2/7
[04:53:30 +10m 35s | proteinqure] Extracting: https://www.proteinqure.com/partnering (15/41), chunk 3/7
[04:53:36 +10m 40s | proteinqure] Extracting: https://www.proteinqure.com/partnering (15/41), chunk 4/7
[04:53:41 +10m 45s | proteinqure] Repaired malformed JSON.
[04:53:41 +10m 45s | proteinqure] Extracting: https://www.proteinqure.com/partnering (15/41), chunk 5/7
[04:53:47 +10m 52s | proteinqure] Repaired malformed JSON.
[04:53:47 +10m 52s | proteinqure] Extracting: https://www.proteinqure.com/partnering (15/41), chunk 6/7
[04:53:55 +10m 57s | proteinqure] Repaired malformed JSON.
[04:53:55 +10m 57s | proteinqure] Extracting: https://www.proteinqure.com/partnering (15/41), chunk 7/7
[04:54:05 +11m 6s | proteinqure] Repaired malformed JSON.
[04:54:05 +11m 6s | proteinqure] Reading page (16/41): https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr
[04:54:05 +11m 6s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 1/5
[04:54:11 +11m 13s | proteinqure] Repaired malformed JSON.
[04:54:11 +11m 13s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 2/5
[04:54:19 +11m 21s | proteinqure] Repaired malformed JSON.
[04:54:19 +11m 21s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 3/5
[04:54:25 +11m 26s | proteinqure] Repaired malformed JSON.
[04:54:25 +11m 26s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 4/5
[04:54:35 +11m 33s | proteinqure] Repaired malformed JSON.
[04:54:35 +11m 33s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-announces-a-breakthrough-therapeutic-with-remarkable-efficacy-in-heterogenous-patient-derived-xenograft-models-of-triple-negative-breast-cancer-to-be-presented-at-aacr (16/41), chunk 5/5
[04:54:41 +11m 39s | proteinqure] Repaired malformed JSON.
[04:54:41 +11m 39s | proteinqure] Reading page (17/41): https://www.proteinqure.com/department/view-all
[04:54:41 +11m 39s | proteinqure] Extracting: https://www.proteinqure.com/department/view-all (17/41), chunk 1/2
[04:54:49 +11m 48s | proteinqure] Repaired malformed JSON.
[04:54:49 +11m 48s | proteinqure] Extracting: https://www.proteinqure.com/department/view-all (17/41), chunk 2/2
[04:54:55 +11m 54s | proteinqure] Reading page (18/41): https://www.proteinqure.com/department/founders
[04:54:55 +11m 54s | proteinqure] Extracting: https://www.proteinqure.com/department/founders (18/41), chunk 1/2
[04:55:04 +12m 0s | proteinqure] Repaired malformed JSON.
[04:55:04 +12m 0s | proteinqure] Extracting: https://www.proteinqure.com/department/founders (18/41), chunk 2/2
[04:55:10 +12m 6s | proteinqure] Reading page (19/41): https://www.proteinqure.com/careers
[04:55:10 +12m 6s | proteinqure] Extracting: https://www.proteinqure.com/careers (19/41), chunk 1/6
[04:55:16 +12m 12s | proteinqure] Extracting: https://www.proteinqure.com/careers (19/41), chunk 2/6
[04:55:20 +12m 16s | proteinqure] Extracting: https://www.proteinqure.com/careers (19/41), chunk 3/6
[04:55:27 +12m 23s | proteinqure] Repaired malformed JSON.
[04:55:27 +12m 23s | proteinqure] Extracting: https://www.proteinqure.com/careers (19/41), chunk 4/6
[04:55:32 +12m 29s | proteinqure] Repaired malformed JSON.
[04:55:32 +12m 29s | proteinqure] Extracting: https://www.proteinqure.com/careers (19/41), chunk 5/6
[04:55:41 +12m 34s | proteinqure] Repaired malformed JSON.
[04:55:41 +12m 34s | proteinqure] Extracting: https://www.proteinqure.com/careers (19/41), chunk 6/6
[04:55:44 +12m 37s | proteinqure] Reading page (20/41): https://www.proteinqure.com/department/bio-chem
[04:55:44 +12m 37s | proteinqure] Extracting: https://www.proteinqure.com/department/bio-chem (20/41), chunk 1/2
[04:55:50 +12m 43s | proteinqure] Repaired malformed JSON.
[04:55:50 +12m 43s | proteinqure] Extracting: https://www.proteinqure.com/department/bio-chem (20/41), chunk 2/2
[04:55:57 +12m 50s | proteinqure] Reading page (21/41): https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials
[04:55:57 +12m 50s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 1/6
[04:56:02 +12m 55s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 2/6
[04:56:09 +13m 2s | proteinqure] Repaired malformed JSON.
[04:56:09 +13m 2s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 3/6
[04:56:19 +13m 9s | proteinqure] Repaired malformed JSON.
[04:56:19 +13m 9s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 4/6
[04:56:27 +13m 17s | proteinqure] Repaired malformed JSON.
[04:56:27 +13m 17s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 5/6
[04:56:33 +13m 23s | proteinqure] Repaired malformed JSON.
[04:56:33 +13m 23s | proteinqure] Extracting: https://www.proteinqure.com/proteinqure-raises-series-a-financing-to-advance-first-ai-designed-peptide-therapeutic-into-clinical-trials (21/41), chunk 6/6
[04:56:40 +13m 30s | proteinqure] Repaired malformed JSON.
[04:56:40 +13m 30s | proteinqure] Reading page (22/41): https://www.proteinqure.com/department/operations
[04:56:40 +13m 30s | proteinqure] Extracting: https://www.proteinqure.com/department/operations (22/41), chunk 1/2
[04:56:50 +13m 37s | proteinqure] Repaired malformed JSON.
[04:56:51 +13m 37s | proteinqure] Extracting: https://www.proteinqure.com/department/operations (22/41), chunk 2/2
[04:56:55 +13m 41s | proteinqure] Reading page (24/41): https://www.proteinqure.com/company
[04:56:55 +13m 41s | proteinqure] Extracting: https://www.proteinqure.com/company (24/41), chunk 1/5
[04:57:01 +13m 48s | proteinqure] Extracting: https://www.proteinqure.com/company (24/41), chunk 2/5
[04:57:06 +13m 52s | proteinqure] Extracting: https://www.proteinqure.com/company (24/41), chunk 3/5
[04:57:10 +13m 57s | proteinqure] Extracting: https://www.proteinqure.com/company (24/41), chunk 4/5
[04:57:13 +14m 0s | proteinqure] Extracting: https://www.proteinqure.com/company (24/41), chunk 5/5
[04:57:19 +14m 6s | proteinqure] Reading page (25/41): https://www.proteinqure.com/department/clinical
[04:57:19 +14m 6s | proteinqure] Extracting: https://www.proteinqure.com/department/clinical (25/41), chunk 1/2
[04:57:29 +14m 13s | proteinqure] Repaired malformed JSON.
[04:57:29 +14m 13s | proteinqure] Extracting: https://www.proteinqure.com/department/clinical (25/41), chunk 2/2
[04:57:35 +14m 19s | proteinqure] Repaired malformed JSON.
[04:57:35 +14m 19s | proteinqure] Reading page (26/41): https://proteinqure.com
[04:57:35 +14m 19s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 1/10
[04:57:41 +14m 26s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 2/10
[04:57:49 +14m 33s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 3/10
[04:57:56 +14m 40s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 4/10
[04:58:08 +14m 49s | proteinqure] Repaired malformed JSON.
[04:58:08 +14m 49s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 5/10
[04:58:17 +14m 58s | proteinqure] Repaired malformed JSON.
[04:58:17 +14m 58s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 6/10
[04:58:22 +15m 3s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 7/10
[04:58:27 +15m 8s | proteinqure] Repaired malformed JSON.
[04:58:27 +15m 8s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 8/10
[04:58:36 +15m 14s | proteinqure] Repaired malformed JSON.
[04:58:36 +15m 14s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 9/10
[04:58:43 +15m 21s | proteinqure] Repaired malformed JSON.
[04:58:43 +15m 21s | proteinqure] Extracting: https://proteinqure.com (26/41), chunk 10/10
[04:58:51 +15m 29s | proteinqure] Reading page (27/41): https://www.proteinqure.com/department/platform-software-engineering
[04:58:51 +15m 29s | proteinqure] Extracting: https://www.proteinqure.com/department/platform-software-engineering (27/41), chunk 1/2
[04:58:59 +15m 37s | proteinqure] Repaired malformed JSON.
[04:58:59 +15m 37s | proteinqure] Extracting: https://www.proteinqure.com/department/platform-software-engineering (27/41), chunk 2/2
[04:59:05 +15m 43s | proteinqure] Reading page (28/41): https://proteinqure.com/careers
[04:59:05 +15m 43s | proteinqure] Extracting: https://proteinqure.com/careers (28/41), chunk 1/6
[04:59:12 +15m 47s | proteinqure] Extracting: https://proteinqure.com/careers (28/41), chunk 2/6
[04:59:15 +15m 50s | proteinqure] Extracting: https://proteinqure.com/careers (28/41), chunk 3/6
[04:59:18 +15m 54s | proteinqure] Extracting: https://proteinqure.com/careers (28/41), chunk 4/6
[04:59:24 +16m 0s | proteinqure] Repaired malformed JSON.
[04:59:24 +16m 0s | proteinqure] Extracting: https://proteinqure.com/careers (28/41), chunk 5/6
[04:59:31 +16m 6s | proteinqure] Repaired malformed JSON.
[04:59:31 +16m 6s | proteinqure] Extracting: https://proteinqure.com/careers (28/41), chunk 6/6
[04:59:37 +16m 12s | proteinqure] Reading page (29/41): https://proteinqure.com/company
[04:59:37 +16m 12s | proteinqure] Extracting: https://proteinqure.com/company (29/41), chunk 1/5
[04:59:40 +16m 15s | proteinqure] Extracting: https://proteinqure.com/company (29/41), chunk 2/5
[04:59:48 +16m 21s | proteinqure] Extracting: https://proteinqure.com/company (29/41), chunk 3/5
[04:59:53 +16m 26s | proteinqure] Extracting: https://proteinqure.com/company (29/41), chunk 4/5
[04:59:57 +16m 30s | proteinqure] Extracting: https://proteinqure.com/company (29/41), chunk 5/5
[05:00:03 +16m 36s | proteinqure] Reading page (30/41): https://www.proteinqure.com/contact
[05:00:03 +16m 36s | proteinqure] Extracting: https://www.proteinqure.com/contact (30/41), chunk 1/4
[05:00:08 +16m 41s | proteinqure] Extracting: https://www.proteinqure.com/contact (30/41), chunk 2/4
