
========================================================================
NEWS BATCH RUN  2026-07-04 22:28:33
========================================================================
  Config file:    /home/lv/IDP/idpdeeptech/pipeline/site_input/news.json
  Output root:    news_outputs/
  Documents:      17421
  Workers:        4
  Crawl depth:    0
  Max pages:      1
  Force redo:     False
  Batch log:      /home/lv/IDP/idpdeeptech/pipeline/news_outputs/batch_logs/batch_20260704_222833.log
========================================================================

[1/17421] 2019-12-10 - Amazon Is Primed For Quantum Computing [c071d770]: skipping (already done; pass --force to redo)
[197/17421] 2022-02-02 - Interview With Ibm Researcher Dr James Wootton [c51788b9]: skipping (already done; pass --force to redo)
[198/17421] 2022-02-02 - Googles Quantum Computer Leader Makes Natures 2019 Top Moments In Science [e092322e]: skipping (already done; pass --force to redo)
[199/17421] 2022-02-12 - Super Fast Switch May Lead To Better Faster Quantum Tech [769ed38f]: skipping (already done; pass --force to redo)
[200/17421] 2022-02-15 - Alibabas Tech Visionary Quantum Computing Entering A Critical Period [f77b1f21]: skipping (already done; pass --force to redo)
[201/17421] 2022-02-24 - The Quantum Daily Launches Fully Integrated Job Board Land Your Dream Job Or Find Your Dream Employee [f234f39a]: skipping (already done; pass --force to redo)
[202/17421] 2022-02-24 - Controlling Qubits With Microwave Pulses Reduces Quantum Computer Error Rates Increases Efficiency [065f5c72]: skipping (already done; pass --force to redo)
[203/17421] 2022-02-24 - University Of Wisconsin Students Dive Into Quantum Computing Masters Degree [312b10f1]: skipping (already done; pass --force to redo)
[204/17421] 2022-02-24 - Researchers Develop Benchmark To Better Measure Quantum Performance [da2a46f4]: skipping (already done; pass --force to redo)
[205/17421] 2022-02-24 - Ibm Doubles The Power Of Its Quantum Computer [a676fd40]: skipping (already done; pass --force to redo)
[206/17421] 2022-02-24 - Daimler Ag Plugs Into Ibms Quantum Computer To Boost Electric Vehicles [cdc864f1]: skipping (already done; pass --force to redo)
[207/17421] 2022-02-24 - Quantum Computing The Future Of Food [365cbdf3]: skipping (already done; pass --force to redo)
[208/17421] 2022-02-24 - University Of Sheffield Launches Quantum Center To Develop Technologies [2a41084a]: skipping (already done; pass --force to redo)
[209/17421] 2022-02-24 - Quantum Computing Now Quantum Fight 2019 [c81f3aa6]: skipping (already done; pass --force to redo)
[210/17421] 2022-02-24 - Princeton Building Partnerships Establishing Foundation To Be World Leader In Quantum Computing [108cd4ea]: skipping (already done; pass --force to redo)
[211/17421] 2022-02-24 - Tweaking Existing Telecommunications Gear Could Help Quantum Communication Research [b3af7a67]: skipping (already done; pass --force to redo)
[212/17421] 2022-02-24 - Strange Metal That Entangled Billions Of Electrons Could Foster Better Quantum Computer Design [69ef744d]: skipping (already done; pass --force to redo)
[213/17421] 2022-02-24 - Quantum Computers Offer Another Look At Classic Physics Concepts [618db78c]: skipping (already done; pass --force to redo)
[214/17421] 2022-02-27 - University Of Marylands Quantum Alliance Sets Mission To Make A Quantum Ready Society [87e0a4fd]: skipping (already done; pass --force to redo)
[215/17421] 2022-02-28 - Zapata Computing Accelerates Challenging Computational Solutions At Scale With Early Access To Its Unified Quantum Operating Environment Orquestra [2de44d85]: skipping (already done; pass --force to redo)
[216/17421] 2022-02-28 - Unifying Collapse And No Collapse Approaches To Quantum Physics [3525a19e]: skipping (already done; pass --force to redo)
[217/17421] 2022-02-28 - Quantum Computing Machine Learning New Business Solutions [52b09a2d]: skipping (already done; pass --force to redo)
[218/17421] 2022-02-28 - Breaking The Hold Of Bell Inequalities [2bfd671a]: skipping (already done; pass --force to redo)
[219/17421] 2022-03-02 - Now Hiring The Quantum Hr Challenge [2a7ffa04]: skipping (already done; pass --force to redo)
[220/17421] 2022-03-02 - Kremlin Qc Initiative Means Business [2c7bb0d1]: skipping (already done; pass --force to redo)
[221/17421] 2022-03-02 - Ichec Announces Priority Access To High Performance Computing For Covid 19 Research [ff250108]: skipping (already done; pass --force to redo)
[222/17421] 2022-03-02 - Abraham Asfaw Episode 11 Interview [5dafc4dc]: skipping (already done; pass --force to redo)
[223/17421] 2022-03-17 - Quantum Computing Now Podcast Episode 9 Interview With Ibm Vice President Bob Sutor [f2f5f643]: skipping (already done; pass --force to redo)
[224/17421] 2022-03-18 - Jack Hidary Director Ai And Quantum Sandbox At Alphabet The Qubit Guys Podcast Episode 13 [ce1037b8]: skipping (already done; pass --force to redo)
[225/17421] 2022-05-10 - Looking For A Quantum Computing Conference Find A Complete List At The Quantum Dailys Conference Page [17f54c84]: skipping (already done; pass --force to redo)
[226/17421] 2022-06-09 - Qubit Alles Germany Invest 2 Billion Euros In Quantum Technology Build Two Quantum Computers [14c02ebb]: skipping (already done; pass --force to redo)
[227/17421] 2022-06-09 - Four Ways Quantum Computing Will Change Artificial Intelligence Forever [0b358824]: skipping (already done; pass --force to redo)
[228/17421] 2022-07-14 - Tqd Podcast Episode 1 The Genesis Of The Quantum Daily Where The Industry Is Heading [242d5689]: skipping (already done; pass --force to redo)
[229/17421] 2022-07-14 - The Quantum Weekly Quantum Ip Woah [0f821ba6]: skipping (already done; pass --force to redo)
[230/17421] 2022-07-14 - The Quantum Weekly A Quarter To Remember [09a00fbf]: skipping (already done; pass --force to redo)
[231/17421] 2022-07-14 - The Quantum Weekly Introducing The Quantum Dailys Data Dashboard [6615280c]: skipping (already done; pass --force to redo)
[232/17421] 2022-07-14 - The Quantum Weekly A Record Breaking Week For The Quantum Industry [2dd5012e]: skipping (already done; pass --force to redo)
[233/17421] 2022-07-14 - The Weekly Quantum Digest Taking Quantum Computing To School [989fdb8c]: skipping (already done; pass --force to redo)
[234/17421] 2022-07-14 - The Quantum Weekly The Quantum Future Arrives In Finland [5d1b91eb]: skipping (already done; pass --force to redo)
[235/17421] 2022-07-14 - The Quantum Weekly Startup Has Brains Of A Deep Tech Firm Heart Of A Scrappy Small Business [5a6d3a48]: skipping (already done; pass --force to redo)
[236/17421] 2022-07-14 - The Weekly Quantum Digest Roadmap Paves A Path To Quantum Technology For Australia [ab12bc51]: skipping (already done; pass --force to redo)
[237/17421] 2022-07-14 - The Quantum Weekly Looking For Good Books For The Quantum Curious [17487d17]: skipping (already done; pass --force to redo)
[238/17421] 2022-07-14 - The Weekly Quantum Digest Ibm Quantum Loud Proud And In The Cloud [08d0fac3]: skipping (already done; pass --force to redo)
[239/17421] 2022-07-14 - The Quantum Weekly Digest Quantum Computing Investor Market Map Helps Make Sense Of Growing Qc Ecosystem [111ef56c]: skipping (already done; pass --force to redo)
[240/17421] 2022-07-14 - The Weekly Quantum Digest Money Keeps Rolling Into Quantum Startups [fd884734]: skipping (already done; pass --force to redo)
[241/17421] 2022-07-14 - The Quantum Weekly Quantum Computing Resources For Researchers [0be76635]: skipping (already done; pass --force to redo)
[242/17421] 2022-07-14 - The Quantum Weekly Digest No Quarantine For Quantum Computing [1708f0af]: skipping (already done; pass --force to redo)
[243/17421] 2022-07-14 - The Quantum Weekly Latest News Business Jobs And Advances In Quantum Computing [b9b5bbe0]: skipping (already done; pass --force to redo)
[244/17421] 2022-07-14 - The Quantum Weekly Honeywell Joins The Quantum Hunt 03 07 2020 [507d8474]: skipping (already done; pass --force to redo)
[245/17421] 2022-07-14 - The Quantum Weekly Celebrating The Women Of Quantum Computing [ed0d2eb5]: skipping (already done; pass --force to redo)
[246/17421] 2022-07-14 - The Quantum Weekly This Weeks Hottest Quantum Stories [543d4108]: skipping (already done; pass --force to redo)
[247/17421] 2022-07-14 - The Quantum Weekly Digest Making It Big In Quantum Computing [902800ab]: skipping (already done; pass --force to redo)
[248/17421] 2022-07-14 - The Quantum Weekly Digest Spooky Action Hits Record Levels On Weird O Meter [d98043f7]: skipping (already done; pass --force to redo)
[249/17421] 2022-07-14 - Weekly Quantum Digest Tuning The Quantum Classical Orchestra [0d65ba61]: skipping (already done; pass --force to redo)
[250/17421] 2022-07-14 - Weekly Quantum Digest Quantum Materials Search Gets Some Large Scale Help [ce0845c5]: skipping (already done; pass --force to redo)
[251/17421] 2022-07-14 - Weekly Quantum Digest Scientists Are Chipping Away At Spooky Action At A Distance [305f09a6]: skipping (already done; pass --force to redo)
[252/17421] 2022-07-14 - Quantum Weekly Digest Its The Dawning Of The Quantum Decade [18737ab1]: skipping (already done; pass --force to redo)
[253/17421] 2022-07-14 - Quantum Weekly Digest Quantum Computings Breakthrough Year [7b8a0961]: skipping (already done; pass --force to redo)
[254/17421] 2022-07-14 - Weekly Quantum Digest Are Quantum Computers Facing A Hardware Doomsday [5fb0fd54]: skipping (already done; pass --force to redo)
[255/17421] 2022-07-14 - Quantum Weekly Digest A Universal Sized Quantum Computer [95067a0d]: skipping (already done; pass --force to redo)
[256/17421] 2022-07-14 - Weekly Quantum Digest Is Microsoft Heading Right To The Topological [fcbd22ec]: skipping (already done; pass --force to redo)
[257/17421] 2022-07-14 - Weekly Quantum Weekly Digest Goodbye 2010S Thanks For Completely Blowing Our Minds [506c09ea]: skipping (already done; pass --force to redo)
[258/17421] 2022-07-14 - Quantum Weekly Digest Reality What Reality Mechanical Motion For Quantum Computing [5772852a]: skipping (already done; pass --force to redo)
[259/17421] 2022-07-14 - Weekly Quantum Digest Taking Quantum Computing Bits For An Atomic Spin [39ab14f8]: skipping (already done; pass --force to redo)
[260/17421] 2022-07-14 - Weekly Quantum Digest Things Get Chippy Between Ibm And Google Over Quantum Supremacy [d8397ba6]: skipping (already done; pass --force to redo)
[261/17421] 2022-07-14 - Weekly Quantum Digest Einsteins Quantum Twin Spin And More [66cb2ae3]: skipping (already done; pass --force to redo)
[262/17421] 2022-07-14 - The Quantum Daily Weekly Digest Vol 1 Quantum World [79533506]: skipping (already done; pass --force to redo)
[263/17421] 2022-07-14 - Silq A New High Level Programming Language For Quantum Computing [6d3f6a09]: skipping (already done; pass --force to redo)
[264/17421] 2022-07-14 - Falling In Love With Quantum Variational Algorithms [60888419]: skipping (already done; pass --force to redo)
[265/17421] 2022-07-14 - Silq And The Quest For A Real Quantum Programming Language [b490a629]: skipping (already done; pass --force to redo)
[266/17421] 2022-07-14 - Quantum Programming Javascript Q Js A Drag And Drop Circuit Editor [974f9be2]: skipping (already done; pass --force to redo)
[267/17421] 2022-07-14 - Quantum Programming 101 Qsvm Machine Learning Tutorial [10fea5d7]: skipping (already done; pass --force to redo)
[268/17421] 2022-07-14 - Quantum Programming 101 D Waves Systems Programming Tutorial [4f6c9680]: skipping (already done; pass --force to redo)
[269/17421] 2022-07-14 - Quantum Programming 101 Grovers Algorithm [d312480a]: skipping (already done; pass --force to redo)
[270/17421] 2022-07-14 - Quantum Programming 101 Superdense Coding Tutorial [bfc15c46]: skipping (already done; pass --force to redo)
[271/17421] 2022-07-14 - Quantum Computers Are Not Faster Than Conventional Computers [b2c5d311]: skipping (already done; pass --force to redo)
[272/17421] 2022-07-14 - What Is Quantum Supremacy And Has Google Achieved It [5f55527d]: skipping (already done; pass --force to redo)
[273/17421] 2022-07-14 - Quantum Programming 101 16 Qubit Random Number Generator Tutorial [3921fc60]: skipping (already done; pass --force to redo)
[274/17421] 2022-07-14 - Webinar Offers Lessons In Quantum Computer Programming [0ae0c83f]: skipping (already done; pass --force to redo)
[275/17421] 2022-07-14 - The Importance Of Quantum Exercises [7982b2a7]: skipping (already done; pass --force to redo)
[276/17421] 2022-07-14 - New Theory Hints At More Efficient Way To Develop Quantum Algorithms [0b85ca88]: skipping (already done; pass --force to redo)
[277/17421] 2022-07-14 - Riverlanes New Operating System May Mark A Key Stage In Commercial Development Of Quantum Computers [98e8d120]: skipping (already done; pass --force to redo)
[278/17421] 2022-07-14 - Scientists Develop First Quantum Algorithm To Characterize Noise Across Large Systems [c837424e]: skipping (already done; pass --force to redo)
[279/17421] 2022-07-14 - Quantum Error Mitigation Boosts Accuracy Saves On Qubits Compared To Typical Error Correction Methods [65ac2f34]: skipping (already done; pass --force to redo)
[280/17421] 2022-07-14 - Quantum Odyssey To Create The Quantum Era We First Have To Make It Fun [d570e0ed]: skipping (already done; pass --force to redo)
[281/17421] 2022-07-15 - The Quantum Daily Releases Updated Quantum Computing 101 Website [3159b341]: skipping (already done; pass --force to redo)
[282/17421] 2022-07-15 - Introduction To Qubits Part 1 [a5fd3972]: skipping (already done; pass --force to redo)
[283/17421] 2022-07-15 - Introduction To Qubits Part 2 [7d6fbba0]: skipping (already done; pass --force to redo)
[284/17421] 2022-07-15 - What Is Quantum Computing Heres What You Need To Know [1179276c]: skipping (already done; pass --force to redo)
[285/17421] 2022-07-15 - Why Quantum Computers [2c211dd7]: skipping (already done; pass --force to redo)
[286/17421] 2022-07-15 - Qubes Camp Learn Quantum Computing From The Pros [1828476f]: skipping (already done; pass --force to redo)
[287/17421] 2022-07-15 - Quantum Computing Now With Ethan Hansen [fe47ec51]: skipping (already done; pass --force to redo)
[288/17421] 2022-07-15 - Quantum Computing Now All The Frameworks [8f0b8de5]: skipping (already done; pass --force to redo)
[289/17421] 2022-07-15 - Quantum Safe Encryption A Primer On Quantum Cryptography [a8163624]: skipping (already done; pass --force to redo)
[290/17421] 2022-07-15 - Fermilab Scientists Publish Quantum Computing Course For High School Students [262bdc6b]: skipping (already done; pass --force to redo)
[291/17421] 2022-07-17 - Dotphoton Raises Pre Series A Round And Opens Orders For Lossless Image Compression Software For Biotech [a016e208]: skipping (already done; pass --force to redo)
[292/17421] 2022-07-17 - Bessemer Leads 79 Million Series C Round Of Rigetti Computing To Advance Practical Quantum Computing [8574894c]: skipping (already done; pass --force to redo)
[293/17421] 2022-07-17 - Quandela Announces First Investment Round Backed By Quantonation And Bpifrance [410ebcdc]: skipping (already done; pass --force to redo)
[294/17421] 2022-07-17 - Orca Computing Raises 2 9M 3 7M To Develop Quantum Technology With Off The Shelf Components [514ff14b]: skipping (already done; pass --force to redo)
[295/17421] 2022-07-17 - The Quantum Data Portal [755ae73c]: skipping (already done; pass --force to redo)
[296/17421] 2022-07-17 - First Quantum Based Ipo Soars 924 Smashes First Day Record [faf1cba8]: skipping (already done; pass --force to redo)
[297/17421] 2022-07-17 - The Quantum Daily Announces Quantum Technologies Data Dashboard [4ca54ce5]: skipping (already done; pass --force to redo)
[298/17421] 2022-07-17 - Ionq Secures New Funding Raising Total To 84 Million Adds Advisory Board Members [58e03adb]: skipping (already done; pass --force to redo)
[299/17421] 2022-07-17 - The Commercialization Of Quantum Technology [89f5b502]: skipping (already done; pass --force to redo)
[300/17421] 2022-07-17 - The Quantum Gold Rush Updated 2020 Biggest Year Yet For Investment [040532e4]: skipping (already done; pass --force to redo)
[301/17421] 2022-07-17 - Horizon Quantum Computing Says Sgd 4 5 Million Seed Financing Boost Will Help Democratize Quantum Software Development [f5c4cc94]: skipping (already done; pass --force to redo)
[302/17421] 2022-07-17 - Qubit Pharmaceuticals A New Player In Quantum Aided Drug Design [796980c2]: skipping (already done; pass --force to redo)
[303/17421] 2022-07-17 - Quantum Startups May Be A Target In Pending 175 Million Pitango Fund [92e6ca19]: skipping (already done; pass --force to redo)
[304/17421] 2022-07-17 - Leading European Investor Says Quantum Computing Is A Top Bet [99041e2b]: skipping (already done; pass --force to redo)
[305/17421] 2022-07-17 - Runa Capital Sees Quantum Computing Focus In Its Latest Fund [6aa05f7a]: skipping (already done; pass --force to redo)
[306/17421] 2022-07-17 - Webinar Quantum Venture Capital Co Design Quantum Computers Quantum Networks [60cfe2a7]: skipping (already done; pass --force to redo)
[307/17421] 2022-07-17 - Archer Materials Joins Global Ibm Q Network [d7e902ed]: skipping (already done; pass --force to redo)
[308/17421] 2022-07-17 - Archer Materials Granted Trading Halt Ahead Of Quantum Computing Chip Agreement [5d7ab363]: skipping (already done; pass --force to redo)
[309/17421] 2022-07-17 - Terra Quantum Secures Eur10M To Build The European Quantum Ecosystem [7be199f4]: skipping (already done; pass --force to redo)
[310/17421] 2022-07-17 - Entree Capital Announces 100M For Quantum Computing Deep Tech [8f2ebc1e]: skipping (already done; pass --force to redo)
[311/17421] 2022-07-17 - Mckinsey Forecasts Quantum Computing Market Could Reach 1 Trillion By 2035 [8c85bac4]: skipping (already done; pass --force to redo)
[312/17421] 2022-07-17 - Coldquanta Awarded 7 4 Million Contract From Darpa To Accelerate Development Of Scalable Cold Atom Quantum Computers [6cb09381]: skipping (already done; pass --force to redo)
[313/17421] 2022-07-17 - Psiquantum Quantum Computer Startup Raises 230 Million Possibly Largest Qc Investment To Date 2 [8968c29d]: skipping (already done; pass --force to redo)
[314/17421] 2022-07-17 - Kicking Off The Quantum Decade [a439f308]: skipping (already done; pass --force to redo)
[315/17421] 2022-07-17 - Quantum Machines Raises 17 5 Million In Venture Capital Funding [47b84445]: skipping (already done; pass --force to redo)
[316/17421] 2022-07-17 - Quantum Computing And The World Of Venture Capital [c7ae5326]: skipping (already done; pass --force to redo)
[317/17421] 2022-07-17 - Pioneering Quantum Vc Firm Successful Startups Need To Balance Science And Business [422cab96]: skipping (already done; pass --force to redo)
[318/17421] 2022-07-17 - The Quantum Computing Market Size Superpositioned For Growth [f3a44283]: skipping (already done; pass --force to redo)
[319/17421] 2022-07-17 - Quantum Computing Incorporated The First Publicly Traded Quantum Computing Stock [53ad7145]: skipping (already done; pass --force to redo)
[320/17421] 2022-07-17 - A Business Look At Quantum Computing [8ccfa07c]: skipping (already done; pass --force to redo)
[321/17421] 2022-07-17 - Investing In Quantum Computing The Tqd Guide [6e52b0b3]: skipping (already done; pass --force to redo)
[322/17421] 2022-07-17 - Nature Announces Start Of Quantum Gold Rush But Doubts Remain [8a751391]: skipping (already done; pass --force to redo)
[323/17421] 2022-07-17 - Will Africa Miss The Next Computational Revolution [2696b820]: skipping (already done; pass --force to redo)
[324/17421] 2022-07-17 - Microsoft Releases Quantum Impact Video Series [bcbfea7c]: skipping (already done; pass --force to redo)
[325/17421] 2022-07-17 - Brand Differentiation In The Qc Industry [a3357a21]: skipping (already done; pass --force to redo)
[326/17421] 2022-07-17 - Boffins Say They Created A Quantum Bullshit Detector By Entangling Uninspired Academic With Cynical Grump [50eeb0d0]: skipping (already done; pass --force to redo)
[327/17421] 2022-07-17 - The Qc House Of Cards [527ca385]: skipping (already done; pass --force to redo)
[328/17421] 2022-07-17 - Origin Quantums Year Of The Pig [4e9a0c94]: skipping (already done; pass --force to redo)
[329/17421] 2022-07-17 - The Quantum Factory [bdeec4f7]: skipping (already done; pass --force to redo)
[330/17421] 2022-07-17 - Is Quantum Supremacy Racist A Group Of 13 Academics Think So [ed7b3164]: skipping (already done; pass --force to redo)
[331/17421] 2022-07-17 - Quantum Pumping In Latin America [9d36253d]: skipping (already done; pass --force to redo)
[332/17421] 2022-07-17 - Dancing With Qubits Serves As A Guide For The Quantum Curious And The Quantum Serious [e1b0c120]: skipping (already done; pass --force to redo)
[333/17421] 2022-07-17 - The Maturing Of Quantum Organizations The Case For A Board Of Directors [28de32a4]: skipping (already done; pass --force to redo)
[334/17421] 2022-07-17 - Spains Timely Edge For Quantum Leadership [c907b1ae]: skipping (already done; pass --force to redo)
[335/17421] 2022-07-17 - The Quantum Technology Support Market Segment [34008a99]: skipping (already done; pass --force to redo)
[336/17421] 2022-07-17 - Adapting The 5 Hour Rule To Quantum Technology [f1764a97]: skipping (already done; pass --force to redo)
[337/17421] 2022-07-17 - Quantum Robotics For The Future [c3cec1db]: skipping (already done; pass --force to redo)
[338/17421] 2022-07-17 - Head Of Business Development At Qc Ware Yianni Gamvros Reflects On The Present And Future Of Quantum Computing [76ef6fef]: skipping (already done; pass --force to redo)
[339/17421] 2022-07-17 - The Case For An Ethical Communications Strategy For The Quantum Community Or How To Avoid A 5G Like Backlash [903e03c8]: skipping (already done; pass --force to redo)
[340/17421] 2022-07-17 - Zapata Chief Says Quantum Machine Learning Is A When Not An If [e809b4d6]: skipping (already done; pass --force to redo)
[341/17421] 2022-07-17 - The Business Side Common Q A Of Quantum Computing [40e04d63]: skipping (already done; pass --force to redo)
[342/17421] 2022-07-17 - Q Munity Workshops The Best Way To Kickoff Your Quantum Journey [315271f9]: skipping (already done; pass --force to redo)
[343/17421] 2022-07-17 - Books On Quantum Computing [5cf35f62]: skipping (already done; pass --force to redo)
[344/17421] 2022-07-17 - Googles Head Of Quantum Computing Hardware Leaves [2be5e33d]: skipping (already done; pass --force to redo)
[345/17421] 2022-07-17 - How South America Is Helping To Build The Quantum Computing Industry [240275c7]: skipping (already done; pass --force to redo)
[346/17421] 2022-07-17 - Could Quantum Computing Help Feed The World [0bc2fadc]: skipping (already done; pass --force to redo)
[347/17421] 2022-07-17 - Would You Trust These Two Quantum Computing Startups With Your Data [753ee165]: skipping (already done; pass --force to redo)
[348/17421] 2022-07-17 - Tqd Exclusive Interview With University Of Chile Physicist Luis Foa Torres [7b2d22d4]: skipping (already done; pass --force to redo)
[349/17421] 2022-07-17 - Paraguay Yerba Mate Quantum [6c77cfd7]: skipping (already done; pass --force to redo)
[350/17421] 2022-07-17 - Quantum Tech Fosters Quantum Community Commercialisation [f3e2eef2]: skipping (already done; pass --force to redo)
[351/17421] 2022-07-17 - The Jedi Master Of Quantum Computing [e3434f57]: skipping (already done; pass --force to redo)
[352/17421] 2022-07-17 - Scientific Discovery Sparks Shootout In Quantum Computing Space [9c966691]: skipping (already done; pass --force to redo)
[353/17421] 2022-07-17 - Bitcoin Versus Quantum Supremacy A Match Made In Hell [31760dc3]: skipping (already done; pass --force to redo)
[354/17421] 2022-07-17 - Quantum Godfathers 2 John Stewart Bell Superposition Irish Style [b28f0953]: skipping (already done; pass --force to redo)
[355/17421] 2022-07-17 - Academic Consortium Is Now An International Effort To Tap Powers Of Quantum Tech [772d16d8]: skipping (already done; pass --force to redo)
[356/17421] 2022-07-18 - Tqd Exclusive Entropica Labs Ceo Says Quantum Teams Must Think Differently Engage With Customers Honestly [adafa9ed]: skipping (already done; pass --force to redo)
[357/17421] 2022-07-18 - Spanish Startup Turning To Quantum Technology To Develop Unique Solutions For The Finance Industry [ab62c6aa]: skipping (already done; pass --force to redo)
[358/17421] 2022-07-18 - The Nanotechnology Sector Is Set To Serve The Quantum Computing Industry One Company With Its Blue Chip Client Case Is Already There [10e854ed]: skipping (already done; pass --force to redo)
[359/17421] 2022-07-18 - Ip Group Launches 12 Million Investment Partnership In Quantum Technology [2992218e]: skipping (already done; pass --force to redo)
[360/17421] 2022-07-18 - As The Internet Of Things Becomes An Ever More Integral Part Of Our Lives So Will The Cyberattacks That Can Threaten It [e7e8c23c]: skipping (already done; pass --force to redo)
[361/17421] 2022-07-18 - California Startup Focused On Silicon Based Tech Partners With University College Dublin [6654ff94]: skipping (already done; pass --force to redo)
[362/17421] 2022-07-18 - Startups Intent To Optimize Chemical Systems By Leveraging Quantum Computing [0ba290e0]: skipping (already done; pass --force to redo)
[363/17421] 2022-07-18 - Bulgarian Startups Quantum Resistant Encryption Algorithms Offer Hope For Ai Banking Telecommunications [4e5fddd7]: skipping (already done; pass --force to redo)
[364/17421] 2022-07-18 - Quantycats Modern Developers Workflow Fix For Qc [44716ad6]: skipping (already done; pass --force to redo)
[365/17421] 2022-07-18 - How A Quantum Arbitration Tool Plans To Change The Practice Of Law [3749e848]: skipping (already done; pass --force to redo)
[366/17421] 2022-07-18 - Greek Startup Utilizing Quantum Computing Hardware To Simulate Drugs Chemicals Materials And Other Quantum Systems [674c7b47]: skipping (already done; pass --force to redo)
[367/17421] 2022-07-18 - Non Profit Fund Working To Create Innovative Qc Projects With Grants [d3007d41]: skipping (already done; pass --force to redo)
[368/17421] 2022-07-18 - Q Ctrl Forms Professional Services To Help Organizations Max Out Cloud Based Quantum Computers [767081be]: skipping (already done; pass --force to redo)
[369/17421] 2022-07-18 - The Three Sisters Of Physics Biology Chemistry To Revolutionize Quantum Computing [962969c4]: skipping (already done; pass --force to redo)
[370/17421] 2022-07-18 - Is This Danish Company The Most Promising Quantum Computing Startup In The World [8a4404f9]: skipping (already done; pass --force to redo)
[371/17421] 2022-07-18 - Quantum South Uruguays First Qc Startup [3e0fe169]: skipping (already done; pass --force to redo)
[372/17421] 2022-07-18 - Quantumctek To Be Chinas First Quantum Ipo [daad3d88]: skipping (already done; pass --force to redo)
[373/17421] 2022-07-18 - Spokane Startups Target Of Non Deterministic Polynomial Problem Efficiency In Chemistry [7833a569]: skipping (already done; pass --force to redo)
[374/17421] 2022-07-18 - Female Founded Quantum Computing Startup Aims For Ai Acceleration [9dfa5e59]: skipping (already done; pass --force to redo)
[375/17421] 2022-07-18 - Atlanta Qc Startup Promises Intelligent Systems For Tomorrows Economies [1015ee86]: skipping (already done; pass --force to redo)
[376/17421] 2022-07-18 - German Non Profit Initiative Hopes To Push Qc To New Heights [75da821b]: skipping (already done; pass --force to redo)
[377/17421] 2022-07-18 - Post Quantum Crypto Startup Qshield Exits Stealth With 5 5 Million Backing Led By Kindred [e66712f1]: skipping (already done; pass --force to redo)
[378/17421] 2022-07-18 - Tqd Exclusive Ki3 Photonics Is Paving The Path For The Quantum Era [fc4c88ff]: skipping (already done; pass --force to redo)
[379/17421] 2022-07-18 - Collaboration Is Key Consideration For Startup With Quantum Computing Vision [7f15ecc8]: skipping (already done; pass --force to redo)
[380/17421] 2022-07-18 - A New Look Into Quantum Computing Startup Nu Quantum [f5d5816e]: skipping (already done; pass --force to redo)
[381/17421] 2022-07-18 - Qubitekk Vision To Become Leading Global Quantum Technology Provider [201c446c]: skipping (already done; pass --force to redo)
[382/17421] 2022-07-18 - Why Create A Quantum Computing Podcast [cf565af4]: skipping (already done; pass --force to redo)
[383/17421] 2022-07-18 - French Startup Applies Quantum Principles To Service The Financial Industry [f3f9cea0]: skipping (already done; pass --force to redo)
[384/17421] 2022-07-18 - 1Qbits Quantum Insights Network Arrives [7bd78b99]: skipping (already done; pass --force to redo)
[385/17421] 2022-07-18 - Terra Quantum Ag Setting A Course For The Future [f20aa39d]: skipping (already done; pass --force to redo)
[386/17421] 2022-07-18 - Japanese Startup Qunasys Maximizing The Potential Of Quantum Computers [8852f898]: skipping (already done; pass --force to redo)
[387/17421] 2022-07-18 - Medical Datasets The Future For One Qc Startup [8e7bff45]: skipping (already done; pass --force to redo)
[388/17421] 2022-07-18 - The Us Air Force Enlists Qc Startup Semicyber To Develop Data Analytics And Software Services For Mission Critical Challenges [541b4fe0]: skipping (already done; pass --force to redo)
[389/17421] 2022-07-18 - Swiss Startups Quantum Chemistry For All [27d1a376]: skipping (already done; pass --force to redo)
[390/17421] 2022-07-18 - Tennessee Startups Wind Power Quantum Panacea [6cc06d1a]: skipping (already done; pass --force to redo)
[391/17421] 2022-07-18 - Apexqubit Harnessing Quantum Computing For Health And Humanity [6694a731]: skipping (already done; pass --force to redo)
[392/17421] 2022-07-18 - Can Quantum Computing Play A Role In Curing Outbreaks Like Coronavirus At Least One Startup Thinks So [8b701839]: skipping (already done; pass --force to redo)
[393/17421] 2022-07-18 - Qutech Scientists Say Cryo Chip Overcomes Obstacle To Large Scale Quantum Computers [71153078]: skipping (already done; pass --force to redo)
[394/17421] 2022-07-18 - German Startup Avanetix Applies Qc To Develop Supply Chain Solutions [dfd77ec1]: skipping (already done; pass --force to redo)
[395/17421] 2022-07-18 - The Hills Are Alive With The Sound Of Qubits [67c4641b]: skipping (already done; pass --force to redo)
[396/17421] 2022-07-18 - Quantum Lab Startup With Thoughts Of Driverless Cars On Its Mind [d121a8fa]: skipping (already done; pass --force to redo)
[397/17421] 2022-07-18 - Canadian Quantum Metamachinists Eureka Moment For Cloud Based Qc [dbe27c46]: skipping (already done; pass --force to redo)
[398/17421] 2022-07-18 - Houston Qc Startup Xofia Aims To Blast Off Towards Fourth Industrial Revolution [551283ca]: skipping (already done; pass --force to redo)
[399/17421] 2022-07-18 - Canadian Qc Startup Agnostiq Building Privacy Solutions For The Future [2620fa4e]: skipping (already done; pass --force to redo)
[400/17421] 2022-07-18 - Clean And Green Xanadu Receives 4 4 Million From Sustainability Group [2b9b9c7f]: skipping (already done; pass --force to redo)
