
========================================================================
RUN STARTED  2026-07-04 23:29:33
site_pipeline.py https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers/
========================================================================

[23:29:33 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 0 crawl site ===
[00:12:24 +1m 14s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting interactions: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 24/37
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Saved 3_interaction_results.json with 10 extracted interactions.

[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 4 clean interactions ===
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Saved 4_edges.json with 0 cleaned interactions.

[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 5 helix enrichment ===
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Wrote 5_nodes.json (8 actors)
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Wrote 5_edges.json (0 interactions)
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Actor helix counts: {'Civil Society': 2, 'Industry': 3, 'Unknown': 3}
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Functional-space counts: {}

[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 6 network visualisation ===
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Wrote quantum_network.html
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Nodes: 8
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Edges: 0

[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Done. Outputs written to: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2
[00:12:32 +1m 22s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Log: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2/run.log

========================================================================
RUN FINISHED 2026-07-05 00:12:32  (OK)
Started:     2026-07-05 00:11:12
Elapsed:     1m 22s
========================================================================
