
========================================================================
RUN STARTED  2026-07-04 23:09:38
site_pipeline.py https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event/
========================================================================

[23:09:38 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 0 crawl site ===
[00:06:13 +1m 43s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 25/38
[00:06:19 +1m 48s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 29/38
[00:06:21 +1m 50s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 30/38
[00:06:25 +1m 54s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 34/38
[00:06:27 +1m 56s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting interactions: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 35/38
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Saved 3_interaction_results.json with 15 extracted interactions.

[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 4 clean interactions ===
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Saved 4_edges.json with 3 cleaned interactions.

[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 5 helix enrichment ===
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Wrote 5_nodes.json (12 actors)
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Wrote 5_edges.json (3 interactions)
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Actor helix counts: {'Academia': 1, 'Civil Society': 3, 'Government': 2, 'Industry': 3, 'Unknown': 3}
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Functional-space counts: {'Consensus': 3}

[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 6 network visualisation ===
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Wrote quantum_network.html
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Nodes: 12
[00:06:32 +2m 1s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Edges: 2

[00:06:32 +2m 2s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Done. Outputs written to: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951
[00:06:32 +2m 2s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Log: /home/lv/IDP/idpdeeptech/pipeline/news_outputs/thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951/run.log

========================================================================
RUN FINISHED 2026-07-05 00:06:32  (OK)
Started:     2026-07-05 00:04:33
Elapsed:     2m 2s
========================================================================
